公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投<br>資比率(%),year,market,出表日期,資料年月,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
9934,成霖,64.83,418.72,180.54,120.48,4.40,6.94,52.59,3.84,95.05,8.39,1.19,3.14,5.82,13.56,1.97,0.94,15.69,87.62,3.68,108,上市,,,,,,,,,,,,,
9935,慶豐富,65.51,245.12,213.31,156.95,7.06,5.24,69.65,6.60,55.30,3.18,0.99,5.81,13.46,18.58,4.48,1.5,40.16,59.98,11.88,108,上市,,,,,,,,,,,,,
9937,全國,62.45,150.71,27.77,21.98,23.62,155.42,2.34,89.50,4.07,4.69,1.97,6.62,15.09,29.82,3.22,2.39,25.98,103.76,8.76,108,上市,,,,,,,,,,,,,
9938,百和,57.77,137.73,118.72,67.83,10.19,6.02,60.63,1.75,208.57,1.35,0.55,7.06,14.9,85.13,11.09,5.11,17.64,49.24,4.37,108,上市,,,,,,,,,,,,,
9939,宏全,56.45,140.31,133.28,89.24,864.00,6.40,57.03,6.89,52.97,1.33,0.68,5.67,10.94,68.25,6.81,4.72,49.93,105.23,8.18,108,上市,,,,,,,,,,,,,
9940,信義,65.31,662.59,425.83,204.22,12.23,11.86,30.77,0.08,4562.50,1.69,0.39,4.45,11.57,27.91,10.26,1.71,119.65,92.59,17.21,108,上市,,,,,,,,,,,,,
9941,裕融,89.69,126.53,100.76,96.9,2.29,,,,,1.46,0.14,2.84,15.15,99.6,10.87,9.12,,1.61,,108,上市,,,,,,,,,,,,,
9942,茂順,29.05,232.22,369.85,231.04,174.21,3.18,114.77,2.40,152.08,1.97,0.74,10.08,13.75,68.67,13.63,4.92,90.48,102.54,3.93,108,上市,,,,,,,,,,,,,
9943,好樂迪,31.59,660.26,201.2,195.08,71.08,87.54,4.16,62.31,5.85,3.58,0.54,14.96,19.52,63.63,26.98,5.48,115.37,90.11,3.05,108,上市,,,,,,,,,,,,,
9944,新麗,43.59,166.74,150.76,112.42,0.69,5.04,72.42,3.97,91.93,1.34,0.56,-0.29,-1.37,-0.89,-1.4,-0.45,19.60,87.91,5.19,108,上市,,,,,,,,,,,,,
9945,潤泰新,43.12,2929.7,185.99,52.43,1233.01,13.27,27.50,0.49,744.89,4.04,0.15,8.54,15.03,99.78,55.55,9.35,15.22,51.36,0.00,108,上市,,,,,,,,,,,,,
