公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投<br>資比率(%),year,market,出表日期,資料年月,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1101,台泥,43.99,218.95,142.22,128.72,8.92,4.16,87.74,9.21,39.63,1.0,0.36,4.36,6.88,32.56,10.5,2.03,18.88,116.16,1.57,106,上市,,,,,,,,,,,,,
1102,亞泥,40.99,359.36,93.17,80.98,5.80,3.96,92.17,8.11,45.00,1.15,0.27,3.35,4.65,25.28,10.27,1.74,15.09,133.25,2.49,106,上市,,,,,,,,,,,,,
1103,嘉泥,31.98,911.57,393.01,359.07,1170.83,7.2,50.69,1.24,294.35,0.86,0.07,3.9,5.57,13.96,46.64,1.39,17.41,29.79,0.86,106,上市,,,,,,,,,,,,,
1104,環泥,19.19,313.38,141.47,126.04,81.14,4.2,86.9,12.62,28.92,0.75,0.21,6.75,8.28,21.8,31.54,2.16,23.67,70.71,-0.51,106,上市,,,,,,,,,,,,,
1108,幸福,38.81,322.2,266.01,61.47,-2.87,4.98,73.29,0.89,410.11,2.08,0.47,-1.03,-2.23,-2.94,-3.0,-0.25,4.21,152.00,-0.95,106,上市,,,,,,,,,,,,,
1109,信大,20.77,209.53,308.5,230.47,30.62,5.81,62.82,5.16,70.73,1.48,0.62,8.89,7.49,24.94,13.2,1.32,60.96,118.13,5.05,106,上市,,,,,,,,,,,,,
1110,東泥,8.39,3758.71,459.41,198.35,25912.50,5.43,67.21,3.54,103.10,7.52,0.18,0.63,0.68,1.12,3.4,0.11,-34.86,-1.51,-3.04,106,上市,,,,,,,,,,,,,
1201,味全,76.24,122.95,103.45,32.35,3.08,6.7,54.47,0.91,401.09,1.54,0.53,3.97,11.99,21.34,5.03,1.31,5.16,7.22,4.27,106,上市,,,,,,,,,,,,,
1203,味王,38.98,258.66,222.8,148.76,79.16,12.04,30.31,3.07,118.89,2.21,0.69,8.51,13.7,43.29,12.04,1.86,41.27,181.06,4.81,106,上市,,,,,,,,,,,,,
1210,大成,46.69,184.22,131.49,75.7,12.05,7.75,47.09,8.24,44.29,6.0,1.93,7.33,12.66,45.35,3.49,3.28,28.29,109.79,15.82,106,上市,,,,,,,,,,,,,
1213,大飲,19.52,205.03,305.94,272.69,11.38,5.13,71.15,13.90,26.25,1.93,0.75,0.27,0.29,0.77,0.31,0.04,-33.85,175.20,-3.99,106,上市,,,,,,,,,,,,,
1215,卜蜂,49.9,134.19,100.5,68.4,42.46,9.46,38.58,13.86,26.33,3.67,1.58,12.05,21.78,68.48,7.44,5.35,33.38,77.89,7.42,106,上市,,,,,,,,,,,,,
1216,統一,53.87,168.98,124.75,99.25,4138.89,23.14,15.77,8.29,44.02,2.43,1.01,15.44,34.86,134.61,15.0,7.01,33.14,129.78,8.23,106,上市,,,,,,,,,,,,,
1217,愛之味,49.97,301.47,70.56,43.59,2.31,7.1,51.4,4.75,76.84,1.42,0.33,2.02,2.69,3.07,3.5,0.27,2.88,13.10,0.66,106,上市,,,,,,,,,,,,,
1218,泰山,48.92,315.5,152.37,92.78,7.40,7.12,51.26,9.74,37.47,4.2,1.0,4.71,8.7,9.74,4.13,0.93,3.98,84.98,0.97,106,上市,,,,,,,,,,,,,
1219,福壽,53.35,149.63,197.91,108.22,2.24,8.67,42.09,6.05,60.33,2.79,1.31,1.13,1.42,1.77,0.51,0.44,-15.92,23.87,-4.42,106,上市,,,,,,,,,,,,,
1220,台榮,21.18,299.75,441.68,299.19,29.02,4.27,85.48,3.73,97.85,2.72,0.78,2.89,3.52,5.94,3.56,0.44,22.28,100.33,-0.43,106,上市,,,,,,,,,,,,,
1225,福懋油,48.16,218.91,182.99,112.59,17.41,6.88,53.05,7.40,49.32,5.06,1.57,5.0,8.76,19.14,2.98,1.13,3.61,130.98,-3.14,106,上市,,,,,,,,,,,,,
1227,佳格,33.84,274.35,217.13,129.47,37.26,5.11,71.42,4.31,84.68,5.11,1.19,10.21,15.01,30.0,8.35,2.39,35.62,88.34,5.88,106,上市,,,,,,,,,,,,,
1229,聯華,14.73,1505.05,83.11,50.73,104.42,5.96,61.24,4.10,89.02,2.77,0.16,10.68,12.49,31.91,61.07,3.11,56.59,92.79,1.23,106,上市,,,,,,,,,,,,,
1231,聯華食,51.77,171.77,166.98,95.2,1878.22,5.49,66.48,5.03,72.56,2.6,1.09,6.69,13.24,30.94,5.79,2.54,38.10,75.25,6.87,106,上市,,,,,,,,,,,,,
1232,大統益,29.85,667.6,309.62,155.75,161.27,17.26,21.14,6.84,53.36,30.06,3.08,15.27,21.8,62.78,4.93,5.11,77.65,68.54,5.44,106,上市,,,,,,,,,,,,,
1233,天仁,27.54,157.93,188.04,120.75,22549.67,8.69,42.0,3.08,118.50,2.22,1.05,8.66,11.99,23.27,8.23,1.94,52.85,92.93,4.29,106,上市,,,,,,,,,,,,,
1234,黑松,23.16,304.05,257.78,85.47,38.98,13.39,27.25,1.60,228.12,1.49,0.4,2.47,3.07,16.02,5.98,1.35,-21.11,-11.79,-8.93,106,上市,,,,,,,,,,,,,
1235,興泰,27.5,2308.93,275.08,273.88,16.34,0.44,829.54,2.38,153.36,0.42,0.02,6.52,8.86,56.61,399.16,5.23,2.45,3654.62,0.83,106,上市,,,,,,,,,,,,,
1236,宏亞,40.06,144.82,173.66,100.31,2.43,4.69,77.82,4.40,82.95,1.06,0.62,0.34,0.28,0.85,0.27,0.05,4.62,96.83,-0.28,106,上市,,,,,,,,,,,,,
1256,鮮活果汁-KY,34.32,282.72,213.49,169.88,20.74,19.91,18.33,8.98,40.64,5.72,1.44,15.01,23.44,145.41,9.84,10.01,56.93,126.68,13.86,106,上市,,,,,,,,,,,,,
1301,台塑,27.53,585.86,258.46,228.23,36.67,13.94,26.18,9.97,36.60,2.99,0.43,10.87,15.01,86.25,23.89,7.76,64.65,126.09,3.02,106,上市,,,,,,,,,,,,,
1303,南亞,32.51,349.42,266.14,208.6,37.60,5.84,62.5,6.73,54.23,2.25,0.57,10.37,15.03,79.15,17.63,6.87,51.63,129.28,0.71,106,上市,,,,,,,,,,,,,
1304,台聚,45.94,216.89,236.99,177.67,1475.22,7.58,48.15,7.54,48.40,2.5,0.92,4.6,8.11,29.93,4.66,1.06,33.68,77.76,4.78,106,上市,,,,,,,,,,,,,
1305,華夏,35.28,190.0,335.59,228.65,124.88,9.45,38.62,6.66,54.80,2.68,1.13,10.39,16.79,32.8,9.11,2.58,90.23,97.46,3.90,106,上市,,,,,,,,,,,,,
1307,三芳,41.8,177.35,229.6,175.0,35.73,6.87,53.12,4.37,83.52,1.58,0.67,6.27,10.43,28.86,9.14,2.27,35.02,114.85,1.63,106,上市,,,,,,,,,,,,,
1308,亞聚,34.01,345.29,219.64,181.81,1670.21,8.4,43.45,7.95,45.91,1.72,0.43,4.06,5.85,12.66,8.83,1.09,41.21,51.59,4.04,106,上市,,,,,,,,,,,,,
1309,台達化,55.68,234.79,169.61,125.74,14.85,7.76,47.03,13.78,26.48,8.15,2.29,6.28,13.78,20.69,2.53,1.53,13.42,79.86,4.00,106,上市,,,,,,,,,,,,,
1310,台苯,30.69,205.0,176.39,112.99,44.23,12.45,29.31,21.18,17.23,3.42,1.3,8.88,13.02,23.61,6.67,2.0,16.63,134.23,-4.93,106,上市,,,,,,,,,,,,,
1312,國喬,16.13,319.72,302.59,236.61,290995.34,7.39,49.39,10.65,34.27,2.91,0.88,13.01,15.55,45.14,14.76,3.64,128.09,243.69,8.39,106,上市,,,,,,,,,,,,,
1313,聯成,52.75,193.62,136.65,73.31,893.53,15.13,24.12,7.26,50.27,3.48,1.24,6.47,11.8,24.46,4.62,2.02,8.45,59.20,1.46,106,上市,,,,,,,,,,,,,
1314,中石化,23.37,456.95,444.14,370.18,34.42,12.07,30.24,14.14,25.81,2.04,0.42,7.9,10.72,23.33,18.26,2.55,82.58,24.44,4.61,106,上市,,,,,,,,,,,,,
1315,達新,23.1,496.37,354.55,297.47,18.77,6.18,59.06,3.09,118.12,1.56,0.28,1.83,2.3,8.36,6.34,0.9,13.53,95.35,0.00,106,上市,,,,,,,,,,,,,
1316,上曜,41.31,910.68,197.3,67.52,24.03,10.14,35.99,0.66,553.03,7.87,0.49,7.75,14.09,29.87,15.1,3.17,22.85,-62.26,8.62,106,上市,,,,,,,,,,,,,
1319,東陽,43.37,148.97,119.73,77.97,24.77,5.0,73.0,6.55,55.72,1.27,0.66,6.73,11.55,50.81,9.8,3.96,64.86,94.94,9.62,106,上市,,,,,,,,,,,,,
1321,大洋,56.06,243.09,160.72,92.18,0.74,8.2,44.51,5.94,61.44,1.09,0.41,-0.46,-1.69,-0.45,-1.82,-0.37,3.60,8.66,0.27,106,上市,,,,,,,,,,,,,
1323,永裕,46.28,241.1,391.95,280.12,34.92,4.49,81.29,4.94,73.88,2.33,0.83,8.36,15.3,44.56,9.68,2.76,63.15,123.54,2.55,106,上市,,,,,,,,,,,,,
1324,地球,26.24,271.92,310.81,248.64,1154.47,5.56,65.64,5.90,61.86,3.47,0.9,4.41,5.95,11.52,4.91,0.8,39.49,112.48,4.91,106,上市,,,,,,,,,,,,,
1325,恆大,6.81,232.38,1617.42,1372.16,1652.81,5.37,67.97,5.06,72.13,1.07,0.45,2.05,2.22,6.2,4.59,0.51,213.93,140.58,2.03,106,上市,,,,,,,,,,,,,
1326,台化,26.88,384.81,307.96,256.72,28.67,9.65,37.82,7.53,48.47,2.85,0.62,11.1,15.04,113.81,16.79,9.33,86.43,142.89,4.35,106,上市,,,,,,,,,,,,,
1337,再生-KY,8.21,190.33,528.92,369.93,29.38,3.6,101.38,12.75,28.62,0.85,0.42,1.73,1.84,3.52,3.97,0.68,88.62,113.10,6.31,106,上市,,,,,,,,,,,,,
1338,廣華-KY,30.91,223.51,201.41,170.05,26.78,3.51,103.98,7.32,49.86,2.59,0.81,8.0,11.15,109.85,9.31,9.25,34.16,89.55,7.50,106,上市,,,,,,,,,,,,,
1339,昭輝,48.6,139.98,127.76,108.18,9.03,3.83,95.3,6.33,57.66,0.88,0.45,4.67,8.51,46.35,9.3,3.72,22.65,82.24,4.40,106,上市,,,,,,,,,,,,,
1340,勝悅-KY,5.85,974.58,1447.79,1434.75,,3.17,115.14,86.60,4.21,5.04,0.49,12.42,13.32,79.27,24.52,6.61,268.47,,16.01,106,上市,,,,,,,,,,,,,
1341,富林-KY,63.97,163.55,110.36,55.18,14.78,7.11,51.33,4.60,79.34,10.11,1.88,18.74,37.86,88.74,9.24,6.88,38.76,,-15.39,106,上市,,,,,,,,,,,,,
1342,八貫,47.64,143.75,149.88,48.24,20.20,7.07,51.62,2.00,182.50,1.96,0.92,11.47,21.47,40.8,12.13,3.49,9.19,40.10,1.06,106,上市,,,,,,,,,,,,,
1402,遠東新,50.55,231.74,98.44,68.92,7.48,8.62,42.34,6.91,52.82,1.43,0.42,3.26,4.19,31.56,6.52,1.61,29.31,76.36,8.25,106,上市,,,,,,,,,,,,,
1409,新纖,75.52,212.24,89.25,84.69,3.27,4.61,79.17,6.31,57.84,1.58,0.23,1.24,3.27,9.73,3.36,0.6,2.78,264.35,3.48,106,上市,,,,,,,,,,,,,
1410,南染,17.65,564.18,807.93,784.81,1179.37,5.17,70.59,16.64,21.93,1.98,0.35,6.64,8.07,17.35,19.13,1.28,158.64,126.55,1.44,106,上市,,,,,,,,,,,,,
1413,宏洲,61.42,143.22,132.37,67.36,8.42,13.27,27.5,6.30,57.93,2.72,1.36,5.56,13.93,8.82,3.71,0.88,44.99,74.27,5.13,106,上市,,,,,,,,,,,,,
1414,東和,30.36,224.15,135.22,61.39,13.35,8.89,41.05,1.58,231.01,0.46,0.17,2.09,2.9,4.15,11.3,0.41,0.00,26.69,-1.02,106,上市,,,,,,,,,,,,,
1416,廣豐,50.98,146.22,140.92,66.79,4.58,50.22,7.26,1.02,357.84,0.46,0.23,2.88,4.81,13.25,9.92,1.13,84.77,36.85,7.10,106,上市,,,,,,,,,,,,,
1417,嘉裕,22.45,389.16,269.54,168.75,-7124.67,7.94,45.96,1.00,365.00,2.1,0.42,-9.33,-12.41,-13.36,-22.58,-1.21,30.56,0.00,6.56,106,上市,,,,,,,,,,,,,
1418,東華,94.44,33.42,26.72,9.87,-11.45,235.74,1.54,5.57,65.52,1.32,1.03,-17.91,-164.12,-55.92,-19.63,-5.92,-19.13,-165.60,-18.91,106,上市,,,,,,,,,,,,,
1419,新紡,32.83,1982.05,100.39,87.61,46.22,7.37,49.52,2.08,175.48,2.99,0.11,9.63,14.39,46.04,82.83,4.15,-6.00,-20.06,-3.30,106,上市,,,,,,,,,,,,,
1423,利華,8.32,776.77,3959.61,2547.82,1613.87,13.56,26.91,1.06,344.33,1.86,0.24,1.62,1.77,2.89,6.74,0.27,433.32,214.96,5.01,106,上市,,,,,,,,,,,,,
1432,大魯閣,36.94,324.23,193.04,150.45,-0.31,31.69,11.51,0.29,1258.62,0.35,0.21,-1.16,-7.88,-10.57,-15.31,-0.85,24.67,-2.50,10.08,106,上市,,,,,,,,,,,,,
1434,福懋,22.72,501.04,254.75,159.45,27.14,8.25,44.24,4.36,83.71,2.42,0.44,5.26,6.64,31.32,11.69,2.54,67.30,123.49,2.84,106,上市,,,,,,,,,,,,,
1435,中福,15.32,1182.74,18175.52,17881.21,1451.72,24.05,15.17,0.04,9125.00,0.37,0.03,0.07,0.08,0.06,2.06,0.01,657.69,92521.05,2.24,106,上市,,,,,,,,,,,,,
1436,華友聯,65.5,17148.59,197.21,12.55,370.64,954.44,0.38,0.30,1216.66,97.27,0.32,4.33,10.1,36.49,10.72,3.15,-4.70,-83.51,-5.89,106,上市,,,,,,,,,,,,,
1437,勤益控,43.81,72116.98,199.89,191.22,6.28,21.74,16.78,4.01,91.02,42.52,0.06,3.85,5.94,18.21,56.56,1.6,26.09,383.96,5.11,106,上市,,,,,,,,,,,,,
1438,三地開發,11.58,1845.13,38923.8,24918.92,,,,0.03,,0.13,0.01,-0.91,-1.03,-0.54,-12951.16,-0.05,-549.97,,-1.33,106,上市,,,,,,,,,,,,,
1439,雋揚,7.85,2641.3,10579.65,10447.55,-49.44,31.29,11.66,16.14,22.61,3.14,0.12,-0.32,-0.35,-0.75,-2.79,-0.07,-39.03,5.04,1.84,106,上市,,,,,,,,,,,,,
1440,南紡,41.3,170.35,105.53,54.66,7.39,11.44,31.9,4.16,87.74,1.07,0.5,2.02,2.97,4.52,3.57,0.45,9.10,38.40,0.90,106,上市,,,,,,,,,,,,,
1441,大東,83.3,118.96,69.85,23.75,-309.00,8.56,42.64,3.41,107.03,0.88,0.51,-7.01,-49.27,-34.09,-16.88,-3.83,-22.32,-45.52,-7.22,106,上市,,,,,,,,,,,,,
1442,名軒,45.63,36331.73,826.89,26.54,213.52,109.29,3.33,0.21,1738.09,113.78,0.26,5.0,10.29,18.01,19.15,2.02,144.12,144.75,15.29,106,上市,,,,,,,,,,,,,
1443,立益物流,91.45,29.68,31.71,19.58,0.00,8.16,44.73,2.04,178.92,0.39,0.26,-5.27,-49.71,-21.4,-25.66,-1.79,0.00,0.00,0.00,106,上市,,,,,,,,,,,,,
1444,力麗,34.73,196.32,117.82,68.39,0.73,8.75,41.71,4.70,77.65,1.68,0.58,0.04,-0.4,-0.18,-0.43,-0.01,27.96,63.97,5.77,106,上市,,,,,,,,,,,,,
1445,大宇,15.84,193.61,579.04,257.2,207.43,6.18,59.06,2.57,142.02,1.67,0.73,0.55,0.66,0.52,0.77,0.09,28.30,80.80,0.28,106,上市,,,,,,,,,,,,,
1446,宏和,56.12,74211.64,606.91,92.78,-8.93,16.05,22.74,7.97,45.79,118.22,0.14,-0.95,-2.32,-2.86,-7.68,-0.29,27.64,-52.85,3.40,106,上市,,,,,,,,,,,,,
1447,力鵬,46.79,206.22,146.71,98.05,-1.26,6.29,58.02,5.87,62.18,2.4,0.77,-0.44,-1.75,-2.74,-1.12,-0.21,41.75,65.78,10.81,106,上市,,,,,,,,,,,,,
1449,佳和,82.35,89.83,105.46,68.28,1.66,4.04,90.34,3.03,120.46,0.95,0.5,3.17,4.89,6.03,2.14,0.48,-13.24,-1005.46,-9.00,106,上市,,,,,,,,,,,,,
1451,年興,32.53,443.48,252.57,164.87,26.08,4.58,79.69,3.31,110.27,3.87,0.75,2.45,3.28,17.24,3.12,0.94,20.05,98.35,0.00,106,上市,,,,,,,,,,,,,
1452,宏益,8.7,324.44,960.26,803.81,25873.00,6.06,60.23,6.20,58.87,2.99,0.79,8.07,8.84,19.51,10.2,1.63,49.33,95.38,-2.01,106,上市,,,,,,,,,,,,,
1453,大將,27.31,907.58,309.47,157.54,-2843.56,11.69,31.22,0.12,3041.66,0.59,0.05,-2.12,-2.7,-2.85,-41.88,-0.3,-25.05,-140.08,-9.12,106,上市,,,,,,,,,,,,,
1454,台富,28.43,198.52,240.36,122.6,791.83,8.71,41.9,2.25,162.22,2.22,0.86,0.99,1.16,1.62,1.0,0.14,0.03,0.48,-0.01,106,上市,,,,,,,,,,,,,
1455,集盛,35.95,145.85,144.27,81.18,29.12,6.2,58.87,6.47,56.41,2.61,1.27,3.16,4.71,6.68,2.41,0.59,4.67,133.69,0.04,106,上市,,,,,,,,,,,,,
1456,怡華,74.76,3850.64,153.78,19.74,165.21,3.64,100.27,0.38,960.52,11.26,0.22,1.98,3.34,4.41,3.81,0.41,,,,106,上市,,,,,,,,,,,,,
1457,宜進,50.81,222.84,112.96,89.5,11.60,8.38,43.55,5.37,67.97,0.96,0.4,6.18,10.84,26.41,14.02,2.52,12.82,35.72,4.65,106,上市,,,,,,,,,,,,,
1459,聯發,52.14,165.65,145.13,124.05,267.14,7.25,50.34,7.68,47.52,1.14,0.48,1.98,2.84,2.53,2.81,0.3,1.51,10.21,0.48,106,上市,,,,,,,,,,,,,
1460,宏遠,59.16,119.12,111.22,34.53,5.80,6.89,52.97,1.84,198.36,1.96,0.82,2.47,4.43,6.19,2.43,0.47,0.74,39.07,-1.44,106,上市,,,,,,,,,,,,,
1463,強盛,10.83,679.86,832.57,689.35,0.00,4.65,78.49,1.53,238.56,4.14,0.56,16.86,21.05,41.11,33.21,3.48,223.66,50.85,-1.37,106,上市,,,,,,,,,,,,,
1464,得力,59.79,140.44,119.17,72.01,7.37,4.77,76.51,2.94,124.14,1.77,0.63,3.77,7.84,13.46,5.23,1.21,-2.51,11.69,-7.13,106,上市,,,,,,,,,,,,,
1465,偉全,14.66,286.99,542.24,350.17,38452.38,8.08,45.17,2.48,147.17,3.2,0.77,1.39,2.03,3.11,1.85,0.25,29.92,131.62,0.97,106,上市,,,,,,,,,,,,,
1466,聚隆,52.79,144.57,161.39,67.95,0.40,7.21,50.62,4.45,82.02,2.12,1.08,0.49,-0.17,-1.27,-0.07,-0.03,11.66,60.71,1.80,106,上市,,,,,,,,,,,,,
1467,南緯,67.44,170.14,136.67,88.78,1.33,6.27,58.21,4.70,77.65,3.08,1.07,-0.14,-3.04,1.13,-0.97,-0.36,5.24,36.12,2.66,106,上市,,,,,,,,,,,,,
1468,昶和,56.27,285.3,159.58,54.46,-3.82,9.09,40.15,0.71,514.08,1.11,0.26,-3.58,-9.93,-6.4,-17.13,-0.59,-6.01,101.67,-1.40,106,上市,,,,,,,,,,,,,
1470,大統新創,15.57,270.85,407.83,319.39,0.00,4.42,82.57,4.20,86.90,1.94,0.64,3.81,4.42,5.72,5.97,0.49,59.14,119.27,3.27,106,上市,,,,,,,,,,,,,
1471,首利,39.44,235.55,142.12,126.42,-75.27,2.4,152.08,9.94,36.72,1.97,0.55,-20.08,-30.2,-0.3,-37.02,-2.32,-26.12,23.16,-7.20,106,上市,,,,,,,,,,,,,
1472,三洋實業,60.46,74.31,76.2,57.64,0.00,5.17,70.59,4.89,74.64,1.53,0.79,-4.09,-12.0,-9.35,-6.07,-1.08,-8.15,-39.62,-2.84,106,上市,,,,,,,,,,,,,
1473,台南,37.1,374.59,244.24,165.21,4.02,6.18,59.06,7.12,51.26,6.56,1.27,1.81,2.39,6.14,1.12,0.64,41.14,108.05,8.95,106,上市,,,,,,,,,,,,,
1474,弘裕,52.92,216.88,132.96,85.71,11.71,5.42,67.34,3.29,110.94,3.54,0.91,3.22,5.76,11.1,3.21,0.84,5.68,84.79,1.22,106,上市,,,,,,,,,,,,,
1475,業旺,53.86,428.94,154.9,90.25,-23.12,6.34,57.57,3.34,109.28,5.98,0.57,-26.56,-56.75,-37.1,-48.12,-12.31,-30.46,-6.07,-3.52,106,上市,,,,,,,,,,,,,
1476,儒鴻,24.89,153.37,196.73,106.08,14109.30,7.44,49.05,4.60,79.34,2.97,1.21,15.38,20.23,153.04,12.6,11.12,58.60,77.91,0.11,106,上市,,,,,,,,,,,,,
1477,聚陽,32.33,184.42,189.82,121.57,50.73,36.57,9.98,6.64,54.96,4.6,1.74,10.3,15.05,77.21,5.79,6.18,45.61,68.16,3.18,106,上市,,,,,,,,,,,,,
1503,士電,39.56,182.06,129.36,79.76,39.70,3.29,110.94,3.38,107.98,1.59,0.61,3.87,6.26,34.99,6.23,2.55,13.09,84.12,2.34,106,上市,,,,,,,,,,,,,
1504,東元,37.1,381.31,236.16,173.42,18.10,4.41,82.76,3.19,114.42,2.8,0.55,2.72,6.24,21.74,6.96,1.56,31.43,126.72,4.18,106,上市,,,,,,,,,,,,,
1506,正道,55.23,132.91,101.82,57.09,-0.93,2.96,123.31,2.22,164.41,1.28,0.48,0.53,-0.92,-5.13,-0.88,-0.12,2.59,47.30,1.34,106,上市,,,,,,,,,,,,,
1512,瑞利,81.96,52.66,58.41,34.31,-894.67,2.66,137.21,5.84,62.50,1.42,0.65,-13.32,-58.36,-30.42,-22.12,-3.09,2.73,52.52,1.56,106,上市,,,,,,,,,,,,,
1513,中興電,54.3,248.97,136.25,69.27,16.83,5.89,61.96,2.36,154.66,3.31,0.72,3.46,6.81,13.94,4.51,1.19,7.83,29.04,1.10,106,上市,,,,,,,,,,,,,
1514,亞力,46.82,310.76,159.14,117.11,12.38,1.91,191.09,3.60,101.38,3.86,0.73,2.45,4.28,6.48,3.09,0.58,28.73,96.84,12.96,106,上市,,,,,,,,,,,,,
1515,力山,61.38,138.59,113.73,91.46,9.36,4.46,81.83,6.46,56.50,2.44,0.9,5.19,11.29,19.87,5.09,1.49,20.02,63.25,12.14,106,上市,,,,,,,,,,,,,
1516,川飛,8.77,764.65,926.82,926.82,341.82,4.15,87.95,20.94,17.43,16.88,1.78,3.82,4.96,5.5,2.14,0.55,*****,*****,*****,106,上市,,,,,,,,,,,,,
1517,利奇,28.14,291.98,352.78,264.74,*****,3.55,102.81,3.43,106.41,2.03,0.59,1.57,2.19,2.74,2.66,-0.18,3.88,74.74,-0.32,106,上市,,,,,,,,,,,,,
1519,華城,55.93,282.1,180.44,105.2,6.12,2.25,162.22,2.45,148.97,4.29,0.83,1.59,2.87,4.83,1.56,0.36,-12.04,21.76,-9.92,106,上市,,,,,,,,,,,,,
1521,大億,48.91,218.71,146.33,83.78,578.88,5.8,62.93,6.95,52.51,6.08,1.67,13.47,26.36,76.87,8.06,6.55,36.85,77.51,4.93,106,上市,,,,,,,,,,,,,
1522,堤維西,67.71,166.34,117.48,51.58,8.67,6.29,58.02,2.99,122.07,2.07,0.81,3.69,9.62,27.91,3.98,2.12,23.00,70.10,4.52,106,上市,,,,,,,,,,,,,
1524,耿鼎,57.02,113.07,107.01,68.48,767.07,6.07,60.13,4.58,79.69,0.85,0.53,3.75,7.72,11.59,6.24,0.91,35.68,160.42,4.48,106,上市,,,,,,,,,,,,,
1525,江申,18.99,814.94,119.72,98.07,343.00,7.73,47.21,7.71,47.34,2.43,0.25,11.8,14.53,83.35,46.24,7.36,-6.81,25.52,-4.53,106,上市,,,,,,,,,,,,,
1526,日馳,64.88,226.91,146.23,100.47,17.29,6.08,60.03,2.13,171.36,5.82,0.75,7.94,19.01,33.12,10.13,2.71,18.86,126.81,12.50,106,上市,,,,,,,,,,,,,
1527,鑽全,78.57,426.95,117.26,55.05,3.24,4.79,76.2,4.52,80.75,4.31,0.26,1.97,6.11,17.16,5.32,1.48,3.35,143.73,-4.59,106,上市,,,,,,,,,,,,,
1528,恩德,59.15,232.1,146.35,82.05,5.00,3.38,107.98,2.13,171.36,4.1,0.85,2.3,4.09,6.87,2.13,0.55,-8.46,37.49,-9.91,106,上市,,,,,,,,,,,,,
1529,樂事綠能,17.45,618.04,328.94,318.1,15191.87,4.58,79.69,55.29,6.60,7.23,0.97,9.54,13.56,1.04,7.91,0.11,-88.08,258.09,-26.51,106,上市,,,,,,,,,,,,,
1530,亞崴,61.52,140.61,117.21,67.86,11.06,3.11,117.36,1.82,200.54,2.03,0.6,2.78,6.36,28.64,4.08,1.83,2.43,63.34,0.86,106,上市,,,,,,,,,,,,,
1531,高林股,18.6,349.53,496.66,362.45,79.21,2.8,130.35,2.34,155.98,1.73,0.48,3.37,4.09,11.56,6.96,0.85,43.45,90.59,2.97,106,上市,,,,,,,,,,,,,
1532,勤美,60.4,246.69,175.59,69.6,6.72,3.13,116.61,0.78,467.94,1.44,0.37,3.08,6.07,36.76,7.07,1.58,-2.69,69.53,-3.40,106,上市,,,,,,,,,,,,,
1533,車王電,47.45,313.87,195.63,123.58,14.73,4.62,79.0,1.31,278.62,2.69,0.59,2.95,5.03,18.99,4.55,1.15,23.90,170.02,8.38,106,上市,,,,,,,,,,,,,
1535,中宇,59.96,1812.72,154.19,71.01,28.16,9.04,40.37,0.52,701.92,59.02,1.3,2.55,5.96,19.72,1.87,1.51,9.06,31.19,4.31,106,上市,,,,,,,,,,,,,
1536,和大,53.45,125.47,126.53,85.49,30.07,4.63,78.83,2.91,125.42,0.99,0.53,9.87,22.46,54.05,17.92,4.81,22.67,52.65,0.21,106,上市,,,,,,,,,,,,,
1537,廣隆,31.04,374.39,305.38,174.66,377.48,6.81,53.59,3.55,102.81,7.03,1.5,17.57,24.75,146.48,11.66,11.04,59.66,107.77,0.91,106,上市,,,,,,,,,,,,,
1538,正峰,69.33,131.91,90.46,66.61,-7.13,6.76,53.99,5.91,61.75,0.7,0.43,-9.26,-30.43,-18.49,-23.87,-1.85,7.62,47.07,2.37,106,上市,,,,,,,,,,,,,
1539,巨庭,65.53,184.9,129.83,93.64,4.46,7.65,47.71,4.01,91.02,4.12,0.88,3.21,6.92,16.17,2.73,1.17,2.60,124.04,-1.93,106,上市,,,,,,,,,,,,,
1540,喬福,15.72,399.77,516.46,411.38,13772.50,5.61,65.06,0.86,424.41,1.66,0.36,2.79,3.28,6.48,7.88,0.5,7.88,143.02,-3.28,106,上市,,,,,,,,,,,,,
1541,錩泰,60.34,173.78,125.23,93.09,28.09,2.81,129.89,5.75,63.47,5.57,1.33,5.11,11.15,22.87,3.7,1.71,2.55,53.71,19.81,106,上市,,,,,,,,,,,,,
1558,伸興,34.33,372.49,252.9,231.65,93.16,4.38,83.33,10.18,35.85,4.5,0.92,8.39,11.95,117.5,8.98,8.68,48.72,120.55,6.92,106,上市,,,,,,,,,,,,,
