sid,grow,stable,market,link,date
8924,33%,86%,上櫃,https://tw.stock.yahoo.com/quote/8924.TWO/health-check,2023-05-12 08:18:31.259767
3450,0%,57%,上市,https://tw.stock.yahoo.com/quote/3450.TW/health-check,2023-05-12 08:18:31.259767
9914,33%,71%,上市,https://tw.stock.yahoo.com/quote/9914.TW/health-check,2023-05-12 08:18:31.259767
5345,17%,29%,上櫃,https://tw.stock.yahoo.com/quote/5345.TWO/health-check,2023-05-12 08:18:31.259767
4510,17%,14%,上櫃,https://tw.stock.yahoo.com/quote/4510.TWO/health-check,2023-05-12 08:18:31.259767
3661,100%,71%,上市,https://tw.stock.yahoo.com/quote/3661.TW/health-check,2023-05-12 08:18:31.259767
2640,100%,57%,上櫃,https://tw.stock.yahoo.com/quote/2640.TWO/health-check,2023-05-12 08:18:31.259767
2348,17%,14%,上市,https://tw.stock.yahoo.com/quote/2348.TW/health-check,2023-05-12 08:18:31.259767
8028,83%,29%,上市,https://tw.stock.yahoo.com/quote/8028.TW/health-check,2023-05-12 08:18:31.259767
9911,17%,71%,上市,https://tw.stock.yahoo.com/quote/9911.TW/health-check,2023-05-12 08:18:31.259767
5871,83%,71%,上市,https://tw.stock.yahoo.com/quote/5871.TW/health-check,2023-05-12 08:18:31.259767
3260,33%,43%,上櫃,https://tw.stock.yahoo.com/quote/3260.TWO/health-check,2023-05-12 08:18:31.259767
4535,67%,86%,上櫃,https://tw.stock.yahoo.com/quote/4535.TWO/health-check,2023-05-12 08:18:31.259767
1232,50%,57%,上市,https://tw.stock.yahoo.com/quote/1232.TW/health-check,2023-05-12 08:18:31.259767
4991,17%,43%,上櫃,https://tw.stock.yahoo.com/quote/4991.TWO/health-check,2023-05-12 08:18:31.259767
1538,67%,57%,上市,https://tw.stock.yahoo.com/quote/1538.TW/health-check,2023-05-12 08:18:31.259767
6271,17%,71%,上市,https://tw.stock.yahoo.com/quote/6271.TW/health-check,2023-05-12 08:18:31.259767
5209,93%,86%,上櫃,https://tw.stock.yahoo.com/quote/5209.TWO/health-check,2023-05-12 08:18:31.259767
8081,17%,43%,上市,https://tw.stock.yahoo.com/quote/8081.TW/health-check,2023-05-12 08:18:31.259767
5285,17%,86%,上市,https://tw.stock.yahoo.com/quote/5285.TW/health-check,2023-05-12 08:18:31.259767
4968,0%,71%,上市,https://tw.stock.yahoo.com/quote/4968.TW/health-check,2023-05-12 08:18:31.259767
3317,17%,86%,上櫃,https://tw.stock.yahoo.com/quote/3317.TWO/health-check,2023-05-12 08:18:31.259767
8040,50%,71%,上櫃,https://tw.stock.yahoo.com/quote/8040.TWO/health-check,2023-05-12 08:18:31.259767
8027,33%,29%,上櫃,https://tw.stock.yahoo.com/quote/8027.TWO/health-check,2023-05-12 08:18:31.259767
2436,17%,29%,上市,https://tw.stock.yahoo.com/quote/2436.TW/health-check,2023-05-12 08:18:31.259767
1584,100%,43%,上櫃,https://tw.stock.yahoo.com/quote/1584.TWO/health-check,2023-05-12 08:18:31.259767
2481,17%,43%,上市,https://tw.stock.yahoo.com/quote/2481.TW/health-check,2023-05-12 08:18:31.259767
2330,67%,86%,上市,https://tw.stock.yahoo.com/quote/2330.TW/health-check,2023-05-12 08:18:31.259767
5907,0%,29%,上市,https://tw.stock.yahoo.com/quote/5907.TW/health-check,2023-05-12 08:18:31.259767
3171,50%,100%,上櫃,https://tw.stock.yahoo.com/quote/3171.TWO/health-check,2023-05-12 08:18:31.259767
1513,67%,29%,上市,https://tw.stock.yahoo.com/quote/1513.TW/health-check,2023-05-12 08:18:31.259767
1535,83%,71%,上市,https://tw.stock.yahoo.com/quote/1535.TW/health-check,2023-05-12 08:18:31.259767
1220,17%,57%,上市,https://tw.stock.yahoo.com/quote/1220.TW/health-check,2023-05-12 08:18:31.259767
3675,33%,86%,上櫃,https://tw.stock.yahoo.com/quote/3675.TWO/health-check,2023-05-12 08:18:31.259767
1516,17%,43%,上市,https://tw.stock.yahoo.com/quote/1516.TW/health-check,2023-05-12 08:18:31.259767
1514,100%,29%,上市,https://tw.stock.yahoo.com/quote/1514.TW/health-check,2023-05-12 08:18:31.259767
3529,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/3529.TWO/health-check,2023-05-12 08:18:31.259767
1558,17%,57%,上市,https://tw.stock.yahoo.com/quote/1558.TW/health-check,2023-05-12 08:18:31.259767
6485,17%,57%,上櫃,https://tw.stock.yahoo.com/quote/6485.TWO/health-check,2023-05-12 08:18:31.259767
5269,33%,57%,上市,https://tw.stock.yahoo.com/quote/5269.TW/health-check,2023-05-12 08:18:31.259767
3707,50%,86%,上櫃,https://tw.stock.yahoo.com/quote/3707.TWO/health-check,2023-05-12 08:18:31.259767
1210,83%,57%,上市,https://tw.stock.yahoo.com/quote/1210.TW/health-check,2023-05-12 08:18:31.259767
9929,67%,57%,上市,https://tw.stock.yahoo.com/quote/9929.TW/health-check,2023-05-12 08:18:31.259767
0050,NA,NA,上櫃,NA,2023-05-12 08:18:31.259767
6139,91%,71%,上市,https://tw.stock.yahoo.com/quote/6139.TW/health-check,2023-05-12 08:18:31.259767
2235,17%,71%,上櫃,https://tw.stock.yahoo.com/quote/2235.TWO/health-check,2023-05-12 08:18:31.259767
3416,83%,71%,上市,https://tw.stock.yahoo.com/quote/3416.TW/health-check,2023-05-12 08:18:31.259767
2449,33%,86%,上市,https://tw.stock.yahoo.com/quote/2449.TW/health-check,2023-05-12 08:18:31.259767
6533,33%,71%,上市,https://tw.stock.yahoo.com/quote/6533.TW/health-check,2023-05-12 08:18:31.259767
2049,17%,71%,上市,https://tw.stock.yahoo.com/quote/2049.TW/health-check,2023-05-12 08:18:31.259767
3483,33%,43%,上櫃,https://tw.stock.yahoo.com/quote/3483.TWO/health-check,2023-05-12 08:18:31.259767
5356,33%,43%,上櫃,https://tw.stock.yahoo.com/quote/5356.TWO/health-check,2023-05-12 08:18:31.259767
2395,100%,100%,上市,https://tw.stock.yahoo.com/quote/2395.TW/health-check,2023-05-12 08:18:31.259767
8931,92%,86%,上櫃,https://tw.stock.yahoo.com/quote/8931.TWO/health-check,2023-05-12 08:18:31.259767
3017,67%,71%,上市,https://tw.stock.yahoo.com/quote/3017.TW/health-check,2023-05-12 08:18:31.259767
2387,33%,57%,上市,https://tw.stock.yahoo.com/quote/2387.TW/health-check,2023-05-12 08:18:31.259767
2357,0%,29%,上市,https://tw.stock.yahoo.com/quote/2357.TW/health-check,2023-05-12 08:18:31.259767
3005,83%,86%,上市,https://tw.stock.yahoo.com/quote/3005.TW/health-check,2023-05-12 08:18:31.259767
2388,33%,29%,上市,https://tw.stock.yahoo.com/quote/2388.TW/health-check,2023-05-12 08:18:31.259767
3605,0%,29%,上市,https://tw.stock.yahoo.com/quote/3605.TW/health-check,2023-05-12 08:18:31.259767
3548,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/3548.TWO/health-check,2023-05-12 08:18:31.259767
3357,17%,86%,上櫃,https://tw.stock.yahoo.com/quote/3357.TWO/health-check,2023-05-12 08:18:31.259767
3015,17%,86%,上市,https://tw.stock.yahoo.com/quote/3015.TW/health-check,2023-05-12 08:18:31.259767
3484,17%,71%,上櫃,https://tw.stock.yahoo.com/quote/3484.TWO/health-check,2023-05-12 08:18:31.259767
3037,33%,86%,上市,https://tw.stock.yahoo.com/quote/3037.TW/health-check,2023-05-12 08:18:31.259767
5498,17%,29%,上櫃,https://tw.stock.yahoo.com/quote/5498.TWO/health-check,2023-05-12 08:18:31.259767
3078,50%,57%,上櫃,https://tw.stock.yahoo.com/quote/3078.TWO/health-check,2023-05-12 08:18:31.259767
8046,33%,71%,上市,https://tw.stock.yahoo.com/quote/8046.TW/health-check,2023-05-12 08:18:31.259767
2493,67%,86%,上市,https://tw.stock.yahoo.com/quote/2493.TW/health-check,2023-05-12 08:18:31.259767
3465,0%,29%,上櫃,https://tw.stock.yahoo.com/quote/3465.TWO/health-check,2023-05-12 08:18:31.259767
6538,83%,71%,上櫃,https://tw.stock.yahoo.com/quote/6538.TWO/health-check,2023-05-12 08:18:31.259767
2476,17%,71%,上市,https://tw.stock.yahoo.com/quote/2476.TW/health-check,2023-05-12 08:18:31.259767
6259,17%,57%,上櫃,https://tw.stock.yahoo.com/quote/6259.TWO/health-check,2023-05-12 08:18:31.259767
3557,17%,43%,上市,https://tw.stock.yahoo.com/quote/3557.TW/health-check,2023-05-12 08:18:31.259767
3492,67%,86%,上櫃,https://tw.stock.yahoo.com/quote/3492.TWO/health-check,2023-05-12 08:18:31.259767
3217,17%,71%,上櫃,https://tw.stock.yahoo.com/quote/3217.TWO/health-check,2023-05-12 08:18:31.259767
3646,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/3646.TWO/health-check,2023-05-12 08:18:31.259767
5227,83%,14%,上櫃,https://tw.stock.yahoo.com/quote/5227.TWO/health-check,2023-05-12 08:18:31.259767
6275,17%,57%,上櫃,https://tw.stock.yahoo.com/quote/6275.TWO/health-check,2023-05-12 08:18:31.259767
6208,67%,29%,上櫃,https://tw.stock.yahoo.com/quote/6208.TWO/health-check,2023-05-12 08:18:31.259767
3338,33%,71%,上市,https://tw.stock.yahoo.com/quote/3338.TW/health-check,2023-05-12 08:18:31.259767
5291,33%,57%,上櫃,https://tw.stock.yahoo.com/quote/5291.TWO/health-check,2023-05-12 08:18:31.259767
3021,33%,29%,上市,https://tw.stock.yahoo.com/quote/3021.TW/health-check,2023-05-12 08:18:31.259767
4927,0%,43%,上市,https://tw.stock.yahoo.com/quote/4927.TW/health-check,2023-05-12 08:18:31.259767
6224,17%,43%,上市,https://tw.stock.yahoo.com/quote/6224.TW/health-check,2023-05-12 08:18:31.259767
3653,83%,71%,上市,https://tw.stock.yahoo.com/quote/3653.TW/health-check,2023-05-12 08:18:31.259767
3030,33%,71%,上市,https://tw.stock.yahoo.com/quote/3030.TW/health-check,2023-05-12 08:18:31.259767
3042,17%,57%,上市,https://tw.stock.yahoo.com/quote/3042.TW/health-check,2023-05-12 08:18:31.259767
2344,0%,43%,上市,https://tw.stock.yahoo.com/quote/2344.TW/health-check,2023-05-12 08:18:31.259767
6203,67%,43%,上櫃,https://tw.stock.yahoo.com/quote/6203.TWO/health-check,2023-05-12 08:18:31.259767
6197,91%,100%,上市,https://tw.stock.yahoo.com/quote/6197.TW/health-check,2023-05-12 08:18:31.259767
6191,17%,86%,上市,https://tw.stock.yahoo.com/quote/6191.TW/health-check,2023-05-12 08:18:31.259767
5439,67%,71%,上櫃,https://tw.stock.yahoo.com/quote/5439.TWO/health-check,2023-05-12 08:18:31.259767
2383,17%,86%,上市,https://tw.stock.yahoo.com/quote/2383.TW/health-check,2023-05-12 08:18:31.259767
6126,17%,86%,上櫃,https://tw.stock.yahoo.com/quote/6126.TWO/health-check,2023-05-12 08:18:31.259767
3023,93%,57%,上市,https://tw.stock.yahoo.com/quote/3023.TW/health-check,2023-05-12 08:18:31.259767
4943,33%,43%,上市,https://tw.stock.yahoo.com/quote/4943.TW/health-check,2023-05-12 08:18:31.259767
2905,0%,29%,上市,https://tw.stock.yahoo.com/quote/2905.TW/health-check,2023-05-12 08:18:31.259767
3597,17%,57%,上櫃,https://tw.stock.yahoo.com/quote/3597.TWO/health-check,2023-05-12 08:18:31.259767
3526,17%,71%,上櫃,https://tw.stock.yahoo.com/quote/3526.TWO/health-check,2023-05-12 08:18:31.259767
2428,17%,86%,上市,https://tw.stock.yahoo.com/quote/2428.TW/health-check,2023-05-12 08:18:31.259767
8390,50%,86%,上櫃,https://tw.stock.yahoo.com/quote/8390.TWO/health-check,2023-05-12 08:18:31.259767
8182,0%,29%,上櫃,https://tw.stock.yahoo.com/quote/8182.TWO/health-check,2023-05-12 08:18:31.259767
8213,17%,71%,上市,https://tw.stock.yahoo.com/quote/8213.TW/health-check,2023-05-12 08:18:31.259767
8155,33%,57%,上櫃,https://tw.stock.yahoo.com/quote/8155.TWO/health-check,2023-05-12 08:18:31.259767
8210,33%,14%,上市,https://tw.stock.yahoo.com/quote/8210.TW/health-check,2023-05-12 08:18:31.259767
8420,92%,86%,上櫃,https://tw.stock.yahoo.com/quote/8420.TWO/health-check,2023-05-12 08:18:31.259767
2345,100%,86%,上市,https://tw.stock.yahoo.com/quote/2345.TW/health-check,2023-05-12 08:18:31.259767
2355,50%,71%,上市,https://tw.stock.yahoo.com/quote/2355.TW/health-check,2023-05-12 08:18:31.259767
3624,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/3624.TWO/health-check,2023-05-12 08:18:31.259767
6292,17%,43%,上櫃,https://tw.stock.yahoo.com/quote/6292.TWO/health-check,2023-05-12 08:18:31.259767
8261,17%,57%,上市,https://tw.stock.yahoo.com/quote/8261.TW/health-check,2023-05-12 08:18:31.259767
8121,0%,29%,上櫃,https://tw.stock.yahoo.com/quote/8121.TWO/health-check,2023-05-12 08:18:31.259767
6449,33%,71%,上市,https://tw.stock.yahoo.com/quote/6449.TW/health-check,2023-05-12 08:18:31.259767
6276,50%,57%,上櫃,https://tw.stock.yahoo.com/quote/6276.TWO/health-check,2023-05-12 08:18:31.259767
6411,0%,71%,上櫃,https://tw.stock.yahoo.com/quote/6411.TWO/health-check,2023-05-12 08:18:31.259767
2308,100%,71%,上市,https://tw.stock.yahoo.com/quote/2308.TW/health-check,2023-05-12 08:18:31.259767
3003,33%,43%,上市,https://tw.stock.yahoo.com/quote/3003.TW/health-check,2023-05-12 08:18:31.259767
3515,33%,57%,上市,https://tw.stock.yahoo.com/quote/3515.TW/health-check,2023-05-12 08:18:31.259767
2368,67%,71%,上市,https://tw.stock.yahoo.com/quote/2368.TW/health-check,2023-05-12 08:18:31.259767
2454,33%,71%,上市,https://tw.stock.yahoo.com/quote/2454.TW/health-check,2023-05-12 08:18:31.259767
4562,67%,29%,上市,https://tw.stock.yahoo.com/quote/4562.TW/health-check,2023-05-12 08:18:31.259767
3545,0%,29%,上市,https://tw.stock.yahoo.com/quote/3545.TW/health-check,2023-05-12 08:18:31.259767
3533,67%,71%,上市,https://tw.stock.yahoo.com/quote/3533.TW/health-check,2023-05-12 08:18:31.259767
3264,67%,43%,上櫃,https://tw.stock.yahoo.com/quote/3264.TWO/health-check,2023-05-12 08:18:31.259767
8433,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/8433.TWO/health-check,2023-05-12 08:18:31.259767
2472,33%,71%,上市,https://tw.stock.yahoo.com/quote/2472.TW/health-check,2023-05-12 08:18:31.259767
2302,67%,100%,上市,https://tw.stock.yahoo.com/quote/2302.TW/health-check,2023-05-12 08:18:31.259767
1907,0%,71%,上市,https://tw.stock.yahoo.com/quote/1907.TW/health-check,2023-05-12 08:18:31.259767
3374,33%,71%,上櫃,https://tw.stock.yahoo.com/quote/3374.TWO/health-check,2023-05-12 08:18:31.259767
4538,67%,57%,上櫃,https://tw.stock.yahoo.com/quote/4538.TWO/health-check,2023-05-12 08:18:31.259767
3443,100%,57%,上市,https://tw.stock.yahoo.com/quote/3443.TW/health-check,2023-05-12 08:18:31.259767
5483,100%,86%,上櫃,https://tw.stock.yahoo.com/quote/5483.TWO/health-check,2023-05-12 08:18:31.259767
1326,0%,71%,上市,https://tw.stock.yahoo.com/quote/1326.TW/health-check,2023-05-12 08:18:31.259767
9950,83%,14%,上櫃,https://tw.stock.yahoo.com/quote/9950.TWO/health-check,2023-05-12 08:18:31.259767
1308,0%,86%,上市,https://tw.stock.yahoo.com/quote/1308.TW/health-check,2023-05-12 08:18:31.259767
5530,17%,86%,上櫃,https://tw.stock.yahoo.com/quote/5530.TWO/health-check,2023-05-12 08:18:31.259767
6504,67%,86%,上市,https://tw.stock.yahoo.com/quote/6504.TW/health-check,2023-05-12 08:18:31.259767
2836,17%,29%,上市,https://tw.stock.yahoo.com/quote/2836.TW/health-check,2023-05-12 08:18:31.259767
2867,17%,29%,上市,https://tw.stock.yahoo.com/quote/2867.TW/health-check,2023-05-12 08:18:31.259767
5876,83%,43%,上市,https://tw.stock.yahoo.com/quote/5876.TW/health-check,2023-05-12 08:18:31.259767
2884,67%,71%,上市,https://tw.stock.yahoo.com/quote/2884.TW/health-check,2023-05-12 08:18:31.259767
3048,17%,29%,上市,https://tw.stock.yahoo.com/quote/3048.TW/health-check,2023-05-12 08:18:31.259767
2851,17%,57%,上市,https://tw.stock.yahoo.com/quote/2851.TW/health-check,2023-05-12 08:18:31.259767
2347,17%,29%,上市,https://tw.stock.yahoo.com/quote/2347.TW/health-check,2023-05-12 08:18:31.259767
3141,0%,43%,上櫃,https://tw.stock.yahoo.com/quote/3141.TWO/health-check,2023-05-12 08:18:31.259767
9945,17%,71%,上市,https://tw.stock.yahoo.com/quote/9945.TW/health-check,2023-05-12 08:18:31.259767
2887,83%,71%,上市,https://tw.stock.yahoo.com/quote/2887.TW/health-check,2023-05-12 08:18:31.259767
1313,0%,29%,上市,https://tw.stock.yahoo.com/quote/1313.TW/health-check,2023-05-12 08:18:31.259767
6108,0%,43%,上市,https://tw.stock.yahoo.com/quote/6108.TW/health-check,2023-05-12 08:18:31.259767
6205,67%,57%,上市,https://tw.stock.yahoo.com/quote/6205.TW/health-check,2023-05-12 08:18:31.259767
6196,100%,43%,上市,https://tw.stock.yahoo.com/quote/6196.TW/health-check,2023-05-12 08:18:31.259767
2404,92%,100%,上市,https://tw.stock.yahoo.com/quote/2404.TW/health-check,2023-05-12 08:18:31.259767
6270,50%,71%,上櫃,https://tw.stock.yahoo.com/quote/6270.TWO/health-check,2023-05-12 08:18:31.259767
2897,91%,14%,上市,https://tw.stock.yahoo.com/quote/2897.TW/health-check,2023-05-12 08:18:31.259767
