,sid,sid_name,股價,大盤領先指標,產業領先指標,勝率(%)_營收,合理價差(%)_營收,相關性_營收,勝率(%)_EPS,合理價差(%)_EPS,相關性_EPS,勝率(%)_殖利率,合理價差(%)_殖利率,相關性_殖利率,date,耗時(秒),策略_營收,策略_EPS,策略_殖利率
409,9802,鈺齊-KY,152,中等,極佳,46,-24,中度相關 0.63,,,低度相關 0.42,,,低度相關 0.31,2022-11-24,50,1,0,0
410,6457,紘康,58.7,中等,極佳,39,63,高度相關 0.79,42,-50,中度相關 0.63,0,0,中度相關 0.55,2022-11-24,44,0,1,0
411,6533,晶心科,572,中等,極佳,46,-11,中度相關 0.68,,,,0,0,,2022-11-24,50,0,0,0
412,1538,正峰,6.21,中等,極佳,46,-54,高度相關 0.82,,,,,,,2022-11-24,51,1,0,0
413,1599,宏佳騰,42,中等,極佳,,,低度相關 0.42,42,-12,中度相關 0.54,,,低度相關 0.3,2022-11-24,48,0,1,0
414,3661,世芯-KY,915,中等,極佳,46,-26,高度相關 0.81,42,-17,高度相關 0.75,41,-20,中度相關 0.64,2022-11-24,43,1,1,1
415,2379,瑞昱,345.5,中等,極佳,46,-25,高度相關 0.82,,,中度相關 0.5,41,-36,中度相關 0.5,2022-11-24,47,1,0,1
416,5269,祥碩,746,中等,極佳,46,-17,高度相關 0.77,42,-52,中度相關 0.6,41,-51,中度相關 0.63,2022-11-24,46,1,1,1
417,2351,順德,97.9,中等,極佳,46,-23,中度相關 0.74,,,低度相關 0,,,低度相關 0.01,2022-11-24,48,1,0,0
418,1558,伸興,111.5,中等,極佳,,,低度相關 0.15,42,-13,中度相關 0.57,41,-14,中度相關 0.58,2022-11-24,43,0,1,1
419,9940,信義,29.1,中等,極佳,,,低度相關 0.22,42,-10,中度相關 0.55,,,低度相關 0.19,2022-11-24,48,0,0,0
420,1514,亞力,28.2,中等,極佳,46,-28,中度相關 0.72,50,-3,高度相關 0.84,46,4,高度相關 0.76,2022-11-24,44,1,0,0
421,8938,明安,97.2,中等,極佳,48,6,高度相關 0.83,42,-11,高度相關 0.79,48,-1,高度相關 0.76,2022-11-24,51,0,1,0
422,3556,禾瑞亞,55.9,中等,極佳,39,25,中度相關 0.7,42,-18,中度相關 0.51,41,-18,中度相關 0.54,2022-11-24,55,0,1,1
423,5285,界霖,66,中等,極佳,46,-27,高度相關 0.79,,,低度相關 0,,,低度相關 0.01,2022-11-24,52,1,0,0
424,5274,信驊,2150,中等,極佳,46,-20,中度相關 0.72,50,-8,中度相關 0.71,48,-10,高度相關 0.76,2022-11-24,45,1,0,0
425,8924,大田,115,中等,極佳,39,26,高度相關 0.76,,,,41,-24,低度相關 0.01,2022-11-24,48,0,0,1
426,1535,中宇,42.05,中等,極佳,,,低度相關 0.02,42,-10,中度相關 0.63,41,-10,中度相關 0.58,2022-11-24,48,0,1,1
427,5871,中租-KY,190.5,中等,極佳,46,-23,高度相關 0.84,42,-17,中度相關 0.52,41,-16,中度相關 0.56,2022-11-24,45,1,1,1
428,3529,力旺,1540,中等,極佳,46,-11,中度相關 0.68,42,-26,中度相關 0.57,41,-26,中度相關 0.56,2022-11-24,50,0,1,1
429,4552,力達-KY,29.1,中等,極佳,0,0,中度相關 0.74,42,-16,高度相關 0.78,0,0,低度相關 0.06,2022-11-24,51,0,1,0
430,4919,新唐,124,中等,極佳,39,12,中度相關 0.65,42,-19,中度相關 0.61,,,,2022-11-24,50,0,1,0
431,5209,新鼎,73.9,中等,極佳,46,-15,高度相關 0.81,50,-2,高度相關 0.76,48,-2,高度相關 0.75,2022-11-24,53,1,0,0
432,6271,同欣電,196,中等,極佳,46,-12,中度相關 0.59,,,低度相關 0.37,,,低度相關 0.4,2022-11-24,50,1,0,0
433,3483,力致,53.8,中等,極佳,46,-19,高度相關 0.76,,,,,,,2022-11-24,50,1,0,0
434,5356,協益,20,中等,極佳,46,-21,高度相關 0.8,,,,46,7,中度相關 0.68,2022-11-24,50,1,0,0
435,2235,謚源,50.1,中等,極佳,,,低度相關 0.35,50,0,高度相關 0.8,48,-7,高度相關 0.76,2022-11-24,48,0,0,0
436,2395,研華,321.5,中等,極佳,46,-18,中度相關 0.61,,,低度相關 0.23,,,低度相關 0.38,2022-11-24,51,1,0,0
437,3169,亞信,109,中等,極佳,46,-20,高度相關 0.86,42,-42,中度相關 0.5,41,-42,中度相關 0.52,2022-11-24,49,1,1,1
438,3450,聯鈞,38.95,中等,極佳,,,低度相關 0.26,42,-28,中度相關 0.62,,,低度相關 0.47,2022-11-24,50,0,1,0
439,1210,大成,43.5,中等,極佳,46,-23,中度相關 0.58,45,3,中度相關 0.71,48,-3,高度相關 0.88,2022-11-24,45,1,0,0
440,1256,鮮活果汁-KY,226.5,中等,極佳,46,-16,中度相關 0.67,42,-18,中度相關 0.74,41,-20,中度相關 0.73,2022-11-24,44,1,1,1
441,8081,致新,145.5,中等,極佳,48,7,高度相關 0.9,42,-37,中度相關 0.53,41,-37,中度相關 0.55,2022-11-24,46,0,1,1
442,8931,大汽電,39.2,中等,極佳,46,-11,低度相關 0.48,45,9,高度相關 0.78,46,9,中度相關 0.73,2022-11-24,46,0,0,0
443,3017,奇鋐,110,中等,極佳,48,2,高度相關 0.87,42,-12,高度相關 0.87,41,-13,高度相關 0.86,2022-11-24,45,0,1,1
444,4967,十銓,30.15,中等,極佳,46,-27,中度相關 0.58,,,,41,-26,,2022-11-24,50,1,0,1
445,2387,精元,40.65,中等,極佳,46,-21,中度相關 0.64,,,,,,,2022-11-24,52,1,0,0
446,9914,美利達,183.5,不適用,不適用,,,低度相關 0.38,,,低度相關 0.48,,,中度相關 0.5,2022-11-24,51,0,0,0
447,6104,創惟,96,中等,極佳,39,89,高度相關 0.89,42,-45,中度相關 0.54,41,-45,中度相關 0.54,2022-11-24,46,0,1,1
448,5288,豐祥-KY,169.5,中等,極佳,46,-14,中度相關 0.72,42,-14,中度相關 0.63,46,1,低度相關 0.36,2022-11-24,53,1,1,0
449,4535,至興,38.2,中等,極佳,46,-11,高度相關 0.77,45,1,中度相關 0.72,48,0,中度相關 0.74,2022-11-24,47,1,0,0
450,1232,大統益,146.5,中等,極佳,46,-17,中度相關 0.54,42,-16,高度相關 0.81,41,-16,高度相關 0.84,2022-11-24,48,1,1,1
451,4549,桓達,84.9,中等,極佳,45,-10,中度相關 0.63,,,低度相關 0.44,,,低度相關 0.42,2022-11-24,52,0,0,0
452,6182,合晶,46.45,中等,極佳,46,-37,中度相關 0.63,,,,,,低度相關 0.49,2022-11-24,52,1,0,0
453,2640,大車隊,83.2,中等,極佳,46,-11,中度相關 0.64,,,低度相關 0.42,48,-5,中度相關 0.64,2022-11-24,52,0,0,0
454,4205,中華食,100,中等,極佳,46,-26,高度相關 0.82,42,-11,高度相關 0.77,48,-5,高度相關 0.75,2022-11-24,51,1,1,0
455,2348,海悅,62.2,中等,極佳,46,-13,高度相關 0.89,42,-10,高度相關 0.88,41,-11,中度相關 0.55,2022-11-24,55,1,1,1
456,6803,崑鼎,246.5,中等,極佳,45,-3,中度相關 0.72,42,-10,高度相關 0.78,41,-11,中度相關 0.74,2022-11-24,50,0,1,1
457,3189,景碩,120,中等,極佳,46,-30,中度相關 0.61,,,,,,,2022-11-24,61,1,0,0
458,6488,環球晶,486,中等,極佳,46,-28,中度相關 0.51,,,低度相關 0.13,0,0,低度相關 0.23,2022-11-24,54,1,0,0
459,3016,嘉晶,78.1,中等,極佳,46,-16,中度相關 0.65,,,,,,,2022-11-24,56,1,0,0
460,5222,全訊,133,中等,極佳,45,-10,中度相關 0.67,0,0,,0,0,,2022-11-24,52,1,0,0
461,3686,達能,12.6,中等,極佳,46,-27,中度相關 0.59,,,,,,,2022-11-24,53,1,0,0
462,5306,桂盟,157,中等,極佳,46,-13,中度相關 0.71,,,低度相關 0.4,,,低度相關 0.35,2022-11-24,52,1,0,0
463,1590,亞德客-KY,901,中等,極佳,45,1,高度相關 0.88,50,-6,中度相關 0.5,,,低度相關 0.38,2022-11-24,47,0,0,0
464,9911,櫻花,61.7,中等,極佳,45,-3,高度相關 0.75,42,-14,高度相關 0.84,41,-14,高度相關 0.81,2022-11-24,45,0,1,1
465,2357,華碩,269,中等,極佳,46,-18,中度相關 0.65,,,低度相關 0.44,,,低度相關 0.44,2022-11-24,50,1,0,0
466,8928,鉅明,36.4,中等,極佳,,,低度相關 0.36,42,-13,中度相關 0.55,41,-13,中度相關 0.55,2022-11-24,54,0,1,1
467,4558,寶緯,22.55,中等,極佳,46,-23,高度相關 0.8,0,0,,0,0,,2022-11-24,48,1,0,0
468,5604,中連,50.6,中等,極佳,46,-20,中度相關 0.61,,,,41,-33,中度相關 0.5,2022-11-24,53,1,0,1
469,5903,全家,188,中等,極佳,,,低度相關 0.21,42,-11,高度相關 0.77,48,-8,高度相關 0.81,2022-11-24,52,0,0,0
470,6257,矽格,50,中等,極佳,45,-5,高度相關 0.88,42,-18,中度相關 0.58,41,-18,中度相關 0.66,2022-11-24,45,0,1,1
471,3707,漢磊,98.2,中等,極佳,46,-18,中度相關 0.7,,,,0,0,,2022-11-24,51,1,0,0
472,4966,譜瑞-KY,788,中等,極佳,46,-10,中度相關 0.73,,,低度相關 0.47,,,低度相關 0.42,2022-11-24,47,0,0,0
473,4510,高鋒,10.45,中等,極佳,46,-28,中度相關 0.57,,,,48,-6,,2022-11-24,48,1,0,0
474,1580,新麥,86.4,中等,極佳,,,低度相關 0.44,42,-21,高度相關 0.76,41,-25,中度相關 0.6,2022-11-24,45,0,1,1
475,4426,利勤,23.35,中等,極佳,46,-33,中度相關 0.64,,,,48,-2,,2022-11-24,47,1,0,0
476,3035,智原,172,中等,極佳,46,-17,高度相關 0.75,,,低度相關 0.39,,,低度相關 0.35,2022-11-24,47,1,0,0
477,4401,東隆興,26.2,中等,極佳,,,低度相關 0.13,42,-27,中度相關 0.62,41,-27,中度相關 0.61,2022-11-24,46,0,1,1
478,2449,京元電子,35.45,中等,極佳,46,-10,中度相關 0.65,,,低度相關 0.39,,,低度相關 0.39,2022-11-24,46,0,0,0
479,3675,德微,177,中等,極佳,46,-11,中度相關 0.72,42,-38,中度相關 0.52,41,-37,中度相關 0.51,2022-11-24,45,0,1,1
480,3416,融程電,82.7,中等,極佳,45,-1,高度相關 0.82,45,1,高度相關 0.83,46,2,高度相關 0.84,2022-11-24,44,0,0,0
481,1220,台榮,14.7,中等,極佳,,,低度相關 0.46,50,-9,高度相關 0.83,48,-10,高度相關 0.81,2022-11-24,45,0,0,0
482,6485,點序,73.1,中等,極佳,46,-19,高度相關 0.75,,,,0,0,,2022-11-24,47,1,0,0
483,8028,昇陽半導體,54.8,中等,極佳,46,-19,高度相關 0.76,,,低度相關 0.01,,,低度相關 0.28,2022-11-24,46,1,0,0
484,6139,亞翔,32.7,不適用,不適用,,,低度相關 0.06,,,低度相關 0.06,,,低度相關 0.08,2022-11-24,47,0,0,0
485,2929,淘帝-KY,12.25,中等,極佳,46,-34,中度相關 0.68,,,,,,,2022-11-24,49,1,0,0
486,1513,中興電,55.9,中等,極佳,39,13,中度相關 0.71,42,-10,中度相關 0.67,41,-10,中度相關 0.69,2022-11-24,43,0,0,0
487,3260,威剛,63.6,中等,極佳,46,-14,中度相關 0.66,,,,,,,2022-11-24,48,1,0,0
488,1516,川飛,21,中等,極佳,,,低度相關 0.41,42,-15,中度相關 0.52,,,,2022-11-24,47,0,1,0
489,6415,矽力*-KY,494,中等,極佳,46,-32,高度相關 0.75,,,低度相關 0.49,,,低度相關 0.41,2022-11-24,47,1,0,0
490,8454,富邦媒,591,中等,極佳,46,-37,中度相關 0.69,42,-30,中度相關 0.52,,,低度相關 0.39,2022-11-24,45,1,1,0
491,3014,聯陽,71.4,中等,極佳,39,49,高度相關 0.95,42,-23,中度相關 0.63,41,-23,中度相關 0.63,2022-11-24,43,0,1,1
492,8040,九暘,56.8,中等,極佳,46,-33,中度相關 0.56,,,,,,,2022-11-24,48,1,0,0
493,2458,義隆,89.4,中等,極佳,39,16,高度相關 0.93,42,-36,中度相關 0.65,41,-39,中度相關 0.58,2022-11-24,42,0,1,1
494,1451,年興,21.4,中等,極佳,46,-13,中度相關 0.67,,,,,,,2022-11-24,48,1,0,0
495,6287,元隆,24,中等,極佳,46,-17,中度相關 0.54,,,,0,0,,2022-11-24,47,1,0,0
496,1584,精剛,21.3,中等,極佳,48,9,中度相關 0.54,,,,,,,2022-11-24,48,0,0,0
497,3005,神基,41.75,中等,極佳,46,-24,中度相關 0.5,,,低度相關 0.1,,,低度相關 0.06,2022-11-24,47,1,0,0
498,2338,光罩,79,中等,極佳,46,-13,高度相關 0.78,,,,48,-5,中度相關 0.74,2022-11-24,46,1,0,0
499,9951,皇田,61.3,中等,極佳,,,低度相關 0.01,42,-14,中度相關 0.51,,,中度相關 0.5,2022-11-24,48,0,1,0
500,5471,松翰,49.15,中等,極佳,39,84,高度相關 0.76,42,-31,高度相關 0.75,41,-31,高度相關 0.75,2022-11-24,44,0,1,1
501,4991,環宇-KY,39.7,中等,極佳,46,-19,中度相關 0.6,45,9,,,,,2022-11-24,47,1,0,0
502,9933,中鼎,40.35,中等,極佳,,,低度相關 0.1,42,-11,中度相關 0.66,41,-13,中度相關 0.67,2022-11-24,49,0,1,1
503,5907,大洋-KY,13.35,中等,極佳,,,低度相關 0.46,,,,41,-28,,2022-11-24,56,0,0,1
504,6509,聚和,39.7,中等,佳,40,-20,中度相關 0.6,37,-28,中度相關 0.64,38,-27,中度相關 0.61,2022-11-24,43,0,0,0
505,1219,福壽,19,中等,極佳,46,-15,中度相關 0.54,,,,41,-11,中度相關 0.51,2022-11-24,47,1,0,1
506,2303,聯電,46.05,中等,極佳,46,-26,中度相關 0.6,,,低度相關 0.41,,,低度相關 0.43,2022-11-24,53,1,0,0
507,1264,德麥,247,中等,極佳,46,-14,中度相關 0.65,42,-15,高度相關 0.76,,,中度相關 0.63,2022-11-24,44,1,1,0
508,3317,尼克森,56.1,中等,極佳,,,低度相關 0.4,,,低度相關 0.36,41,-23,低度相關 0.02,2022-11-24,45,0,0,1
509,5345,天揚,6.18,中等,極佳,46,-22,低度相關 0.49,,,,,,,2022-11-24,49,1,0,0
510,6129,普誠,31.85,中等,極佳,46,-15,中度相關 0.74,,,,,,,2022-11-24,48,1,0,0
511,9929,秋雨,8.49,中等,極佳,46,-41,中度相關 0.59,,,,,,,2022-11-24,50,1,0,0
512,8066,來思達,26.9,中等,極佳,,,低度相關 0.22,42,-23,中度相關 0.72,41,-29,中度相關 0.72,2022-11-24,44,0,1,1
513,3426,台興,37.7,中等,極佳,46,-12,低度相關 0.49,50,-8,高度相關 0.86,,,低度相關 0,2022-11-24,43,1,0,0
514,3686,達能,12.45,中等,極佳,46,-28,中度相關 0.59,,,,,,,2022-11-25,59,1,0,0
515,1451,年興,21.4,中等,極佳,46,-13,中度相關 0.67,,,,,,,2022-11-25,54,1,0,0
516,9911,櫻花,61.3,中等,極佳,45,-3,高度相關 0.75,42,-14,高度相關 0.84,41,-14,高度相關 0.81,2022-11-25,45,0,1,1
517,5356,協益,20.05,中等,極佳,46,-21,高度相關 0.8,,,,46,7,中度相關 0.68,2022-11-25,47,1,0,0
518,3317,尼克森,56.2,中等,極佳,,,低度相關 0.4,,,低度相關 0.36,41,-21,低度相關 0.02,2022-11-25,48,0,0,1
519,2303,聯電,45.8,中等,極佳,46,-26,中度相關 0.6,,,低度相關 0.41,,,低度相關 0.43,2022-11-25,49,1,0,0
520,4549,桓達,85.1,中等,極佳,45,-9,中度相關 0.63,,,低度相關 0.44,,,低度相關 0.42,2022-11-25,48,0,0,0
521,6488,環球晶,480,中等,極佳,46,-25,中度相關 0.51,,,低度相關 0.13,0,0,低度相關 0.23,2022-11-25,45,1,0,0
522,3169,亞信,106,中等,極佳,46,-16,高度相關 0.86,42,-39,中度相關 0.5,41,-39,中度相關 0.52,2022-11-25,46,1,1,1
523,4401,東隆興,26.25,中等,極佳,,,低度相關 0.13,42,-27,中度相關 0.62,41,-27,中度相關 0.61,2022-11-25,48,0,1,1
524,1538,正峰,5.97,中等,極佳,46,-54,高度相關 0.82,,,,,,,2022-11-25,49,1,0,0
525,3556,禾瑞亞,55.7,中等,極佳,39,27,中度相關 0.7,42,-17,中度相關 0.51,41,-17,中度相關 0.54,2022-11-25,48,0,1,1
526,3450,聯鈞,38.95,中等,極佳,,,低度相關 0.26,42,-27,中度相關 0.62,,,低度相關 0.47,2022-11-25,50,0,1,0
527,4966,譜瑞-KY,796,中等,極佳,45,-7,中度相關 0.73,,,低度相關 0.47,,,低度相關 0.42,2022-11-25,49,0,0,0
528,5871,中租-KY,192.5,中等,極佳,46,-22,高度相關 0.84,42,-16,中度相關 0.52,41,-13,中度相關 0.56,2022-11-25,44,1,1,1
529,2929,淘帝-KY,11.9,中等,極佳,46,-34,中度相關 0.68,,,,,,,2022-11-25,49,1,0,0
530,8454,富邦媒,597,中等,極佳,46,-36,中度相關 0.69,42,-29,中度相關 0.52,,,低度相關 0.39,2022-11-25,52,1,1,0
531,8938,明安,97.7,中等,極佳,48,6,高度相關 0.83,42,-10,高度相關 0.79,48,0,高度相關 0.76,2022-11-25,43,0,1,0
532,6803,崑鼎,246,中等,極佳,45,-3,中度相關 0.72,42,-11,高度相關 0.78,41,-11,中度相關 0.74,2022-11-25,42,0,1,1
533,6139,亞翔,32.15,不適用,不適用,,,低度相關 0.06,,,低度相關 0.06,,,低度相關 0.08,2022-11-25,51,0,0,0
534,3014,聯陽,70.7,中等,極佳,39,51,高度相關 0.95,42,-21,中度相關 0.63,41,-22,中度相關 0.63,2022-11-25,43,0,1,1
535,4991,環宇-KY,39.7,中等,極佳,46,-18,中度相關 0.6,46,11,,,,,2022-11-25,47,1,0,0
536,5604,中連,51.1,中等,極佳,46,-20,中度相關 0.61,,,,41,-31,中度相關 0.5,2022-11-25,48,1,0,1
537,4205,中華食,100.5,中等,極佳,46,-27,高度相關 0.82,42,-12,高度相關 0.77,48,-6,高度相關 0.75,2022-11-25,47,1,1,0
538,8081,致新,143,中等,極佳,39,11,高度相關 0.9,42,-35,中度相關 0.53,41,-35,中度相關 0.54,2022-11-25,43,0,1,1
539,5903,全家,187,中等,極佳,,,低度相關 0.21,49,-10,高度相關 0.77,48,-7,高度相關 0.81,2022-11-25,44,0,0,0
540,8040,九暘,55.6,中等,極佳,46,-31,中度相關 0.56,,,,,,,2022-11-25,54,1,0,0
541,9929,秋雨,8.49,中等,極佳,46,-40,中度相關 0.59,,,,,,,2022-11-25,55,1,0,0
542,2351,順德,100.5,中等,極佳,46,-21,中度相關 0.73,,,低度相關 0,,,低度相關 0.01,2022-11-25,50,1,0,0
543,3707,漢磊,96,中等,極佳,46,-18,中度相關 0.7,,,,0,0,,2022-11-25,48,1,0,0
544,5907,大洋-KY,13.4,中等,極佳,,,低度相關 0.46,,,,41,-28,,2022-11-25,47,0,0,1
545,1219,福壽,19,中等,極佳,46,-15,中度相關 0.54,,,,41,-11,中度相關 0.51,2022-11-25,44,1,0,1
546,1580,新麥,85.8,中等,極佳,,,低度相關 0.44,42,-21,高度相關 0.76,41,-25,中度相關 0.6,2022-11-25,44,0,1,1
547,4919,新唐,120,中等,極佳,39,13,中度相關 0.65,42,-18,中度相關 0.61,,,,2022-11-25,47,0,1,0
548,9940,信義,29.05,中等,極佳,,,低度相關 0.22,49,-10,中度相關 0.55,,,低度相關 0.19,2022-11-25,45,0,0,0
549,2049,上銀,184,中等,極佳,,,低度相關 0.28,,,低度相關 0.44,41,-18,中度相關 0.5,2022-11-25,48,0,0,1
550,1590,亞德客-KY,916,中等,極佳,48,1,高度相關 0.88,49,-6,中度相關 0.5,,,低度相關 0.38,2022-11-25,49,0,0,0
551,2395,研華,317.5,中等,極佳,46,-18,中度相關 0.61,,,低度相關 0.23,,,低度相關 0.38,2022-11-25,46,1,0,0
552,6182,合晶,45.9,中等,極佳,46,-35,中度相關 0.63,,,,,,低度相關 0.49,2022-11-25,46,1,0,0
553,3017,奇鋐,109,中等,極佳,48,3,高度相關 0.87,42,-12,高度相關 0.87,41,-12,高度相關 0.86,2022-11-25,46,0,1,1
554,1514,亞力,29,中等,極佳,46,-26,中度相關 0.72,49,-1,高度相關 0.84,46,6,高度相關 0.76,2022-11-25,43,1,0,0
555,6104,創惟,96.5,中等,極佳,39,99,高度相關 0.89,42,-42,中度相關 0.54,41,-41,中度相關 0.54,2022-11-25,42,0,1,1
556,6533,晶心科,538,中等,極佳,45,-4,中度相關 0.68,,,,0,0,,2022-11-25,49,0,0,0
557,3661,世芯-KY,883,中等,極佳,46,-22,高度相關 0.81,42,-14,高度相關 0.75,41,-16,中度相關 0.64,2022-11-25,45,1,1,1
558,5269,祥碩,751,中等,極佳,46,-14,高度相關 0.77,42,-50,中度相關 0.6,41,-49,中度相關 0.63,2022-11-25,44,1,1,1
559,3016,嘉晶,77.6,中等,極佳,46,-14,中度相關 0.65,,,,,,,2022-11-25,52,1,0,0
560,2387,精元,40.8,中等,極佳,46,-20,中度相關 0.64,,,,,,,2022-11-25,48,1,0,0
561,1513,中興電,57.2,中等,極佳,39,13,中度相關 0.71,49,-8,中度相關 0.67,48,-8,中度相關 0.69,2022-11-25,41,0,0,0
562,9914,美利達,182.5,不適用,不適用,,,低度相關 0.38,,,低度相關 0.48,,,低度相關 0.49,2022-11-25,51,0,0,0
563,1516,川飛,21.6,中等,極佳,,,低度相關 0.41,42,-15,中度相關 0.52,,,,2022-11-25,54,0,1,0
564,2348,海悅,61.8,中等,極佳,46,-13,高度相關 0.89,42,-11,高度相關 0.88,41,-11,中度相關 0.55,2022-11-25,44,1,1,1
565,8066,來思達,26.95,中等,極佳,,,低度相關 0.22,42,-22,中度相關 0.72,41,-28,中度相關 0.72,2022-11-25,44,0,1,1
566,9802,鈺齊-KY,150,中等,極佳,46,-23,中度相關 0.63,,,低度相關 0.42,,,低度相關 0.31,2022-11-25,47,1,0,0
567,3426,台興,37.7,中等,極佳,46,-12,低度相關 0.49,49,-9,高度相關 0.86,,,低度相關 0,2022-11-25,44,1,0,0
568,8028,昇陽半導體,54.1,中等,極佳,46,-18,高度相關 0.76,,,低度相關 0.01,,,低度相關 0.27,2022-11-25,52,1,0,0
569,5285,界霖,64.9,中等,極佳,46,-24,高度相關 0.79,,,低度相關 0,,,低度相關 0.01,2022-11-25,49,1,0,0
570,6271,同欣電,196.5,中等,極佳,46,-11,中度相關 0.59,,,低度相關 0.36,,,低度相關 0.4,2022-11-25,49,1,0,0
571,1558,伸興,112,中等,極佳,,,低度相關 0.15,42,-13,中度相關 0.57,41,-15,中度相關 0.58,2022-11-25,49,0,1,1
572,6287,元隆,23.85,中等,極佳,46,-17,中度相關 0.54,,,,0,0,,2022-11-25,46,1,0,0
573,5306,桂盟,157,中等,極佳,46,-11,中度相關 0.71,,,低度相關 0.4,,,低度相關 0.35,2022-11-25,47,1,0,0
574,1535,中宇,42.1,中等,極佳,,,低度相關 0.02,42,-10,中度相關 0.63,41,-10,中度相關 0.58,2022-11-25,54,0,1,1
575,1232,大統益,145.5,中等,極佳,46,-17,中度相關 0.54,42,-16,高度相關 0.81,41,-16,高度相關 0.84,2022-11-25,51,1,1,1
576,6257,矽格,50,中等,極佳,45,-5,高度相關 0.88,42,-17,中度相關 0.58,41,-17,中度相關 0.66,2022-11-25,167,0,1,1
577,2338,光罩,79.8,中等,極佳,46,-13,高度相關 0.78,,,,48,-5,中度相關 0.74,2022-11-25,50,1,0,0
578,1584,精剛,21.2,中等,極佳,48,9,中度相關 0.54,,,,,,,2022-11-25,174,0,0,0
579,3171,新洲,15.8,中等,極佳,,,低度相關 0.47,42,-11,高度相關 0.81,,,低度相關 0.1,2022-11-25,53,0,1,0
580,8027,鈦昇,54.9,中等,極佳,46,-16,中度相關 0.54,,,,,,低度相關 0.37,2022-11-25,57,1,0,0
581,8931,大汽電,38.05,中等,極佳,45,-7,低度相關 0.48,46,13,高度相關 0.78,46,13,中度相關 0.73,2022-11-25,53,0,0,0
582,9951,皇田,60.3,中等,極佳,,,低度相關 0.01,42,-14,中度相關 0.51,,,中度相關 0.5,2022-11-25,56,0,1,0
583,6129,普誠,31.25,中等,極佳,46,-12,中度相關 0.74,,,,,,,2022-11-25,53,1,0,0
584,4535,至興,38.5,中等,極佳,46,-11,高度相關 0.77,45,1,中度相關 0.72,48,0,中度相關 0.74,2022-11-25,51,1,0,0
585,6485,點序,71,中等,極佳,46,-17,高度相關 0.75,,,,0,0,,2022-11-25,53,1,0,0
586,3529,力旺,1495,中等,極佳,45,-7,中度相關 0.68,42,-23,中度相關 0.57,41,-23,中度相關 0.56,2022-11-25,46,0,1,1
587,5274,信驊,2095,中等,極佳,46,-19,中度相關 0.72,49,-7,中度相關 0.71,48,-8,高度相關 0.76,2022-11-25,47,1,0,0
588,4426,利勤,24.05,中等,極佳,46,-32,中度相關 0.64,,,,48,-1,,2022-11-25,54,1,0,0
589,8924,大田,117,中等,極佳,39,26,高度相關 0.76,,,,41,-22,低度相關 0.01,2022-11-25,53,0,0,1
590,3035,智原,167.5,中等,極佳,46,-12,高度相關 0.75,,,低度相關 0.39,,,低度相關 0.35,2022-11-25,55,1,0,0
591,2379,瑞昱,330.5,中等,極佳,46,-21,高度相關 0.82,,,中度相關 0.5,41,-33,中度相關 0.5,2022-11-25,51,1,0,1
592,5209,新鼎,74.8,中等,極佳,46,-14,高度相關 0.81,49,-1,高度相關 0.76,48,-2,高度相關 0.75,2022-11-25,54,1,0,0
593,4967,十銓,29.95,中等,極佳,46,-26,中度相關 0.58,,,,41,-25,,2022-11-25,49,1,0,1
594,4968,立積,129.5,中等,極佳,45,-2,高度相關 0.75,,,,48,-5,中度相關 0.64,2022-11-25,55,0,0,0
595,5471,松翰,48.55,中等,極佳,39,89,高度相關 0.76,42,-29,高度相關 0.75,41,-28,高度相關 0.75,2022-11-25,50,0,1,1
596,3675,德微,173.5,中等,極佳,45,-9,中度相關 0.72,42,-37,中度相關 0.52,41,-36,中度相關 0.51,2022-11-25,49,0,1,1
597,2436,偉詮電,45.65,中等,極佳,39,37,高度相關 0.79,,,低度相關 0.46,,,中度相關 0.5,2022-11-25,52,0,0,0
598,5222,全訊,130.5,中等,極佳,46,-10,中度相關 0.67,0,0,,0,0,,2022-11-25,54,1,0,0
599,5345,天揚,5.88,中等,極佳,46,-22,低度相關 0.49,,,,,,,2022-11-25,63,1,0,0
600,6509,聚和,39.15,中等,中等,37,-20,中度相關 0.6,29,-28,中度相關 0.64,32,-26,中度相關 0.61,2022-11-25,52,0,0,0
601,2481,強茂,60.4,中等,極佳,,,低度相關 0.3,,,,41,-27,,2022-11-25,51,0,0,1
602,2235,謚源,49.7,中等,極佳,,,低度相關 0.35,45,1,高度相關 0.8,48,-6,高度相關 0.76,2022-11-25,50,0,0,0
603,1256,鮮活果汁-KY,227,中等,極佳,46,-16,中度相關 0.67,42,-18,中度相關 0.74,41,-20,中度相關 0.73,2022-11-25,72,1,1,1
604,6415,矽力*-KY,485.5,中等,極佳,46,-28,高度相關 0.75,,,低度相關 0.49,,,低度相關 0.41,2022-11-25,94,1,0,0
605,1220,台榮,14.75,中等,極佳,,,低度相關 0.46,49,-9,高度相關 0.83,48,-10,高度相關 0.81,2022-11-25,56,0,0,0
606,3260,威剛,62.5,中等,極佳,46,-12,中度相關 0.66,,,,,,,2022-11-25,60,1,0,0
607,3416,融程電,82.6,中等,極佳,45,-1,高度相關 0.82,45,2,高度相關 0.83,46,2,高度相關 0.84,2022-11-25,63,0,0,0
608,4558,寶緯,23.05,中等,極佳,46,-23,高度相關 0.8,0,0,,0,0,,2022-11-25,77,1,0,0
609,2357,華碩,265,中等,極佳,46,-17,中度相關 0.65,,,低度相關 0.44,,,低度相關 0.44,2022-11-25,91,1,0,0
