sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
4943,康控-KY,上市,電子零組件業,,-1.86,,5.53,,5.42,,7.22,,9.45,,10.73,9.71,6.31,8.81,9.98,8.91,6.52,35.25,34.69,2.77,21.56,36.76,30.34,-16.48,14.47,16.97,11.84,-11.86,-3.5,10.13,-2.46,-36.36,-41.18,-269.76,-47.86,-62.56,-103.88,-61.88,
6108,競國,上市,電子零組件業,-3.63,4.72,5.65,1.18,4.72,4.45,7.62,2.18,-3.9,4.2,3.38,5.89,2.83,5.93,9.81,9.68,6.14,3.79,5.61,3.64,3.32,6.39,7.61,6.43,4.24,4.12,4.53,5.87,-1.96,6.09,5.1,1.02,4.85,8.8,6.84,0.16,-2.68,-3.67,0.29,
6191,精成科,上市,電子零組件業,-0.43,-0.71,0.68,-0.43,0.28,0.65,0.68,0.61,-3.73,0.02,0.24,-0.15,1.36,1.65,3.71,3.56,0.98,2.73,4.59,5.27,3.7,1.77,3.56,2.35,2.04,3.73,5.41,7.69,4.88,11.24,10.79,12.91,12.7,11.7,10.91,9.8,11.05,8.44,10.69,13.1
6197,佳必琪,上市,電子零組件業,0.53,4.31,7.7,3.04,6.02,5.28,5.57,6.61,8.6,2.63,2.12,1.72,1.58,3.63,13.08,10.17,7.99,8.02,8.98,4.19,1.62,0.15,7.78,4.92,2.77,6.52,7.63,6.46,4.19,15.01,10.75,10.58,6.34,9.99,9.36,10.91,7.31,10.13,9.68,7.6
6205,詮欣,上市,電子零組件業,4.65,5.46,7.99,2.6,8.84,10.47,6.72,6.89,10.56,5.1,6.72,0.89,9.94,9.91,10.52,7.91,15.48,10.23,10.78,4.69,8.22,11.94,12.42,9.94,10.01,7.12,3.6,8.5,7.21,17.32,13.09,11.68,8.64,9.39,11.26,13.37,15.68,17.52,14.65,21.41
6224,聚鼎,上市,電子零組件業,28.02,31.44,26.74,26.9,26.11,32.85,24.8,24.17,31.08,35.85,30.84,24.21,26.9,28.31,29.02,24.5,25.48,24.46,26.94,24.83,21.99,26.97,27.6,17.73,11.44,22.57,30.33,28.53,21.7,23.1,23.99,26.23,26.83,19.94,14.78,7.17,6.36,-20.88,-2.59,-9.26
6449,鈺邦,上市,電子零組件業,,,,,,17.19,17.33,16.42,18.16,16.18,12.81,17.17,14.94,16.86,16.76,15.4,15.67,16.63,16.87,16.18,16.24,13.01,14.77,4.26,-1.02,8.09,14.03,15.76,4.12,18.35,20.39,16.94,13.59,14.85,14.75,13.8,9.13,13.42,8.25,12.85
8046,南電,上市,電子零組件業,-11.06,-5.32,-0.92,-3.49,-3.02,3.4,0.92,-2.93,3.24,-0.94,-6.56,-5.35,-2.04,-6.11,-10.81,-13.95,-7.91,-5.03,-7.37,-6.96,-9.86,-8.25,-1.36,1.39,-5.89,-2.95,2.38,5.3,4.95,10.88,12.17,13.17,15.98,23.03,27.49,29.66,32.87,35.44,37.49,39.31
8213,志超,上市,電子零組件業,8.79,6.94,8.7,9.52,8.41,9.63,11.43,9.55,6.83,6.95,7.29,6.55,5.25,3.83,5.37,5.62,4.42,5.04,5.66,4.74,3.87,4.39,8.98,9.27,7.11,5.36,7.43,6.14,0.98,7.7,9.15,9.88,7.33,9.64,8.7,6.18,8.15,7.11,6.13,8.96
1513,中興電,上市,電機機械,3.76,6.98,2.46,9.56,4.77,4.35,5.14,8.01,4.57,5.23,11.09,1.94,5.81,5.52,4.67,-0.83,6.53,0.61,4.35,3.13,5.91,4.78,3.89,4.75,3.46,4.9,7.92,4.66,7.98,8.32,7.96,16.81,17.04,11.98,13.75,16.02,15.68,14.86,13.16,17.67
1514,亞力,上市,電機機械,2.53,3.31,0.07,1.38,0.19,-1.0,3.11,3.84,2.06,2.36,3.45,0.99,7.73,-1.36,-0.05,-1.98,2.55,1.99,2.88,4.13,5.17,2.54,3.61,4.37,6.04,5.96,7.52,4.0,7.34,8.61,6.57,5.0,8.64,6.43,8.19,3.93,8.26,7.5,5.14,5.45
1535,中宇,上市,電機機械,6.44,4.94,3.87,5.55,3.8,4.5,6.28,6.05,4.82,4.78,2.7,3.44,4.38,3.51,6.14,10.3,5.41,1.88,2.86,1.25,2.83,-0.26,-0.93,-0.39,-0.05,0.47,0.51,0.55,0.8,0.42,0.27,1.32,2.72,4.08,2.42,2.35,4.28,3.18,3.49,4.04
1538,正峰,上市,電機機械,-39.6,-24.61,-22.34,-27.63,-12.45,-8.02,-9.33,-11.89,-10.86,-5.36,-9.92,-24.94,-9.53,-14.43,-14.69,-9.63,-7.46,-8.54,-21.62,-6.93,-20.07,-22.28,-29.01,-18.57,-36.57,-14.42,-22.3,-41.04,-49.06,-23.61,-27.8,-26.21,-31.71,-24.73,-32.55,-19.44,-21.9,-16.08,-6.09,-12.67
1558,伸興,上市,電機機械,12.53,17.47,18.79,10.88,11.53,15.95,18.21,13.32,12.16,16.84,18.39,13.77,13.99,19.27,20.89,14.1,6.84,17.54,16.94,14.31,6.82,17.18,20.48,12.08,8.86,14.75,18.12,12.47,9.13,16.71,20.54,18.18,15.88,13.64,-0.63,0.84,5.29,7.07,-1.24,8.18
1590,亞德客-KY,上市,電機機械,25.92,32.35,30.36,30.47,30.49,31.78,25.78,25.8,22.18,26.69,23.66,21.13,22.81,27.18,26.53,25.29,29.14,33.61,28.82,29.0,28.31,30.65,24.29,22.49,22.79,26.95,24.85,26.19,21.94,34.42,32.67,32.08,33.27,34.28,30.45,31.23,27.82,30.35,28.02,29.31
2049,上銀,上市,電機機械,6.96,20.93,21.96,22.52,19.35,17.26,21.24,17.54,18.87,15.2,10.68,4.98,5.0,12.24,10.14,7.48,10.52,14.03,17.13,19.77,21.37,25.75,25.7,13.07,15.05,17.42,12.63,-1.45,-2.36,12.22,11.26,7.63,13.53,20.25,22.72,17.41,20.6,22.39,21.08,8.94
4552,力達-KY,上市,電機機械,,,,,,,,,18.07,19.3,18.52,17.23,18.5,17.12,17.58,16.77,16.99,17.87,17.64,15.76,16.26,16.72,16.52,16.25,8.18,9.9,10.73,11.76,-8.99,15.58,10.06,10.51,8.57,8.74,11.79,11.55,10.85,10.99,14.18,14.33
4562,穎漢,上市,電機機械,,,,,,,,,,18.35,,14.38,,11.11,,20.77,15.54,14.31,9.33,17.4,7.54,14.13,16.95,11.04,1.65,6.43,-1.72,-18.92,-25.23,-10.2,-13.83,-31.48,-15.82,-9.97,-10.16,-10.18,-15.6,-17.37,-7.42,1.96
5288,豐祥-KY,上市,電機機械,,,,,,10.48,9.26,9.21,13.64,10.47,14.5,13.66,13.73,11.84,12.2,11.4,13.2,12.0,11.74,11.83,12.88,11.22,12.67,11.87,14.41,11.68,12.38,10.99,12.93,1.68,14.76,18.78,15.77,13.44,9.31,9.6,12.4,13.39,14.39,14.01
2357,華碩,上市,電腦及週邊設備業,4.71,3.9,4.28,4.2,4.57,4.55,4.6,4.48,4.59,4.5,4.33,4.39,4.22,3.86,3.95,4.01,3.71,1.97,2.66,3.29,3.82,3.19,2.05,13.21,1.98,2.48,6.17,2.34,4.16,5.51,7.35,6.19,9.91,10.5,8.24,8.5,7.71,2.17,2.64,-3.36
2387,精元,上市,電腦及週邊設備業,7.14,0.53,0.9,3.41,3.44,4.74,8.49,7.91,3.42,2.84,6.82,9.53,6.49,4.85,5.39,6.07,8.81,3.51,5.06,1.66,-2.05,-1.3,2.8,5.1,-0.66,1.94,2.11,2.59,-1.89,10.57,12.14,10.69,5.76,7.79,7.41,4.85,3.4,3.97,8.69,9.21
2395,研華,上市,電腦及週邊設備業,14.56,16.59,15.7,14.02,16.76,16.29,14.64,14.11,15.38,16.28,14.03,16.62,14.72,15.66,16.66,16.07,15.02,15.37,15.42,15.26,14.47,15.35,15.42,15.99,15.11,16.69,18.3,17.87,14.67,20.27,17.35,17.82,17.38,15.46,16.82,17.2,18.7,18.47,18.15,17.64
3005,神基,上市,電腦及週邊設備業,2.56,3.59,4.31,5.17,2.31,6.33,4.09,5.75,6.02,7.57,7.56,9.97,9.78,9.97,11.85,11.26,11.0,11.57,11.91,10.84,8.54,9.11,13.21,11.51,7.92,12.25,12.11,11.26,6.65,15.86,10.07,11.04,7.85,8.15,8.02,10.64,7.8,7.84,9.36,12.77
3017,奇鋐,上市,電腦及週邊設備業,0.15,2.1,3.03,1.09,1.22,3.72,2.22,1.9,3.5,2.21,4.32,6.5,5.29,4.71,5.74,5.87,3.64,4.08,6.3,3.08,2.69,1.89,3.01,2.3,2.86,2.18,3.34,5.13,3.45,8.2,9.64,10.27,7.95,10.65,10.28,11.5,10.61,11.1,11.8,11.41
3416,融程電,上市,電腦及週邊設備業,14.48,16.48,17.62,14.61,13.48,15.35,19.17,14.32,16.44,16.45,18.77,15.31,18.2,18.18,15.45,11.44,14.31,9.95,10.93,10.93,12.9,10.0,13.32,15.39,16.21,16.82,16.31,15.92,16.21,16.51,15.98,14.84,17.81,17.64,19.43,14.89,15.56,14.93,20.81,22.1
3515,華擎,上市,電腦及週邊設備業,11.09,12.83,10.82,9.97,10.0,5.79,4.5,4.45,5.64,2.74,4.98,5.76,5.15,1.42,3.86,0.74,4.5,2.98,8.19,6.02,9.21,7.17,5.51,4.32,4.02,3.9,7.02,6.99,5.64,10.43,12.66,11.47,13.83,19.2,12.72,15.28,13.61,5.76,1.41,4.9
