sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
8182,加高,上櫃,電子零組件業,7.11,7.66,8.11,9.64,10.14,10.43,6.34,6.15,8.46,5.04,7.62,9.07,8.99,5.07,3.49,-2.25,2.78,9.51,4.81,3.87,4.18,9.88,10.69,7.05,4.67,7.9,5.63,4.03,6.04,5.51,2.53,5.22,3.76,8.06,9.29,8.44,4.2,4.38,3.01,4.64
1580,新麥,上櫃,電機機械,3.44,12.08,6.36,15.34,3.32,15.43,9.18,16.58,-1.37,20.76,3.4,20.38,-5.46,20.72,24.5,29.19,7.72,9.05,13.51,12.73,1.7,16.49,14.28,21.5,8.25,15.72,17.55,26.86,-11.77,12.64,26.32,16.19,-2.54,-1.25,10.22,22.04,-2.2,4.06,24.51,29.23
1599,宏佳騰,上櫃,電機機械,-46.46,5.63,25.98,-28.41,5.82,14.65,26.09,6.44,-24.75,21.1,27.33,2.94,5.57,-15.84,37.5,12.51,-32.32,-3.41,6.91,75.46,-72.54,21.31,32.52,0.3,-2.29,8.37,-3.62,-12.45,1.24,-4.2,32.67,20.44,1.2,-0.48,23.78,35.84,-9.69,-2.32,2.45,17.93
2235,謚源,上櫃,電機機械,,12.67,,0.08,,4.73,8.06,13.75,14.52,7.08,11.73,15.49,11.09,11.83,6.51,15.18,15.13,2.84,7.13,31.7,14.32,8.4,3.17,42.99,15.46,9.0,17.63,-0.58,16.75,10.59,10.37,0.48,22.12,6.57,-0.96,9.1,8.68,4.85,12.56,13.18
3426,台興,上櫃,電機機械,,,,,,,,,,22.31,,40.12,1.79,10.53,5.62,20.5,14.91,15.01,10.23,9.94,13.31,19.23,10.12,6.86,9.96,7.37,6.21,8.77,4.39,8.44,-7.71,11.44,-7.09,9.03,-2.32,8.81,5.37,-0.41,11.13,11.11
4510,高鋒,上櫃,電機機械,6.44,3.79,1.0,13.28,-8.17,-1.58,-0.61,0.47,-3.55,-2.31,-0.99,10.16,0.95,1.17,1.72,1.67,2.76,-2.47,2.83,-3.0,-7.25,-2.79,-0.56,-0.3,1.43,7.38,9.61,4.39,3.08,3.68,3.34,-0.16,1.62,0.33,-0.5,-1.19,-2.68,1.31,5.14,2.14
4535,至興,上櫃,電機機械,5.13,11.77,9.91,15.03,11.65,10.91,9.39,11.74,-3.63,12.69,25.66,19.01,19.54,28.65,42.11,31.81,7.28,15.11,8.91,17.0,17.11,4.06,18.03,46.54,15.78,17.76,18.61,25.68,17.28,15.42,27.84,36.83,17.82,19.92,19.99,14.47,17.34,14.49,17.85,30.79
4538,大詠城,上櫃,電機機械,,3.94,,17.15,,11.28,,20.7,,14.82,,42.04,,5.29,,25.53,,23.22,,9.17,,21.07,6.24,14.39,36.38,22.5,42.3,51.23,51.2,19.15,18.46,-0.34,28.74,5.85,3.54,-12.66,18.55,8.52,21.87,14.62
4549,桓達,上櫃,電機機械,,,,,14.61,11.15,13.63,28.06,6.04,18.67,20.02,27.25,28.19,14.27,14.0,20.12,17.69,12.24,30.33,22.61,17.68,17.77,37.91,29.91,13.55,16.77,29.66,18.96,5.42,11.34,16.21,18.69,12.81,10.9,11.82,11.16,7.05,10.02,9.81,20.47
4558,寶緯,上櫃,電機機械,,,,,,10.02,,4.98,,1.72,,9.44,,4.76,,-4.35,,14.25,,-0.28,,8.77,,-11.96,,27.05,,-5.92,,16.86,,-1.37,,-7.33,-5.51,-11.56,1.98,-4.29,7.71,3.69
8027,鈦昇,上櫃,電機機械,,,,,,17.72,-17.09,23.37,5.33,-18.48,4.34,-13.02,3.09,-3.48,4.37,-2.84,2.2,-4.43,-3.94,-6.33,3.64,-14.0,-0.74,-5.88,2.33,-4.03,12.2,14.41,-7.89,2.76,-5.08,7.6,0.91,18.45,-16.14,-2.55,11.88,-4.43,-28.64,13.02
9951,皇田,上櫃,電機機械,-0.03,6.23,12.85,18.39,3.63,1.21,12.17,6.17,2.26,7.06,4.91,15.51,3.23,10.91,4.45,15.22,1.97,-0.04,3.52,13.6,-6.06,6.83,6.47,7.19,9.12,11.3,4.91,9.42,4.01,8.84,9.24,18.41,6.93,2.66,2.22,14.35,-5.96,13.04,1.53,16.16
3483,力致,上櫃,電腦及週邊設備業,5.14,7.57,-2.05,1.95,3.59,3.87,-7.03,3.8,6.76,10.61,-2.07,-2.7,-0.61,8.33,3.16,-1.19,2.19,4.52,1.28,-3.0,4.67,-4.72,1.29,-0.07,6.42,4.55,4.26,6.65,9.36,-0.4,3.09,3.64,5.28,0.85,-2.4,-1.15,9.18,6.2,3.75,10.17
5356,協益,上櫃,電腦及週邊設備業,30.44,-5.68,14.4,13.89,9.23,15.14,-10.84,59.39,-12.88,13.44,-12.52,40.16,-7.17,1.22,9.63,3.36,39.41,-0.7,2.12,17.17,26.1,9.07,18.53,-4.22,37.96,10.35,4.28,7.01,16.29,3.12,7.61,-2.78,3.16,-4.28,-8.39,0.59,1.51,1.83,7.24,-1.25
6276,安鈦克,上櫃,電腦及週邊設備業,26.39,-20.52,-25.63,24.0,-5.24,-6.19,0.45,-5.39,-4.49,-5.63,5.8,1.37,21.95,-5.54,-17.71,9.58,7.59,13.67,6.97,23.23,-21.81,-17.71,0.42,18.35,15.45,-1.12,9.04,1.17,-7.26,0.57,15.17,24.99,-7.75,-5.37,-15.43,1.06,0.87,10.43,43.43,1.4
1264,德麥,上櫃,食品工業,,20.21,,102.59,,14.41,12.47,16.33,9.46,23.66,2.66,33.13,20.22,22.74,45.73,34.02,40.86,11.15,16.25,27.01,34.47,2.61,33.3,48.35,38.48,9.08,26.21,36.05,22.66,15.6,30.31,28.45,16.95,8.89,19.22,25.58,20.99,-2.14,22.34,12.64
4205,中華食,上櫃,食品工業,-6.98,23.6,38.43,28.18,10.46,18.18,3.34,29.49,8.9,7.09,35.85,20.14,22.12,17.23,31.2,26.58,9.66,14.02,23.82,31.02,10.15,12.97,14.14,25.49,13.08,13.75,15.82,36.36,22.29,9.41,34.85,31.6,22.26,17.45,12.28,44.41,20.25,13.59,24.19,28.86
