上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/05/04
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","328.57","1.20000000","111","2.61","1.44"
"1258","其祥-KY","10.43","0.00000000","111","0.00","1.39"
"1259","安心","18.16","2.60000000","111","3.56","1.19"
"1264","德麥","16.59","12.00000000","111","4.23","3.58"
"1268","漢來美食","47.56","3.00000000","111","2.05","3.34"
"1336","台翰","13.22","0.41000000","111","1.51","1.24"
"1565","精華","14.04","13.50000000","111","5.48","2.16"
"1569","濱川","7.40","2.00000000","111","8.37","0.82"
"1570","力肯","8.98","1.00000000","111","5.31","1.06"
"1580","新麥","15.75","6.00000000","111","5.69","2.05"
"1584","精剛","37.96","0.70000000","111","1.71","2.92"
"1586","和勤","66.23","0.25000000","111","0.71","1.85"
"1591","駿吉-KY","11.16","0.50000000","111","1.79","1.91"
"1593","祺驊","15.29","3.20000000","111","4.00","2.24"
"1595","川寶","8.03","2.00000000","111","5.13","0.69"
"1599","宏佳騰","10.05","1.50000000","111","3.97","1.37"
"1742","台蠟","N/A","0.00000000","111","0.00","1.08"
"1777","生泰","14.65","3.00000000","111","3.09","1.97"
"1781","合世","N/A","0.00000000","111","0.00","1.88"
"1784","訊聯","86.88","0.69884410","111","1.01","3.02"
"1785","光洋科","15.40","1.50000000","111","4.14","1.69"
"1788","杏昌","16.06","7.00000000","111","4.81","2.42"
"1796","金穎生技","59.29","1.50000000","111","1.12","6.69"
"1799","易威","N/A","0.00000000","111","0.00","3.08"
"1813","寶利徠","160.36","0.50000000","111","2.23","1.29"
"1815","富喬","169.29","0.30000000","111","2.53","0.71"
"2035","唐榮","N/A","0.00000000","111","0.00","1.92"
"2061","風青","N/A","0.00000000","111","0.00","1.92"
"2063","世鎧","8.70","3.00000000","111","7.03","2.18"
"2064","晉椿","N/A","1.00000000","111","5.49","1.17"
"2065","世豐","8.31","5.49786626","111","9.09","2.10"
"2066","世德","11.79","2.00000000","110","2.11","2.21"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.49"
"2070","精湛","14.18","1.50000000","111","4.56","1.34"
"2221","大甲","6.66","4.00000000","111","9.48","1.67"
"2230","泰茂","25.77","1.50000000","111","1.84","5.67"
"2235","謚源","9.92","4.00000000","111","8.78","1.21"
"2596","綠意","38.62","1.00000000","111","4.46","1.08"
