上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/22
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.63","2.50000000","110","5.52","1.46"
"1258","其祥-KY","16.15","0.00000000","110","0.00","1.60"
"1259","安心","18.58","2.60000000","111","3.48","1.22"
"1264","德麥","15.42","12.00000000","110","4.40","3.62"
"1268","漢來美食","43.99","3.00000000","110","2.21","3.09"
"1336","台翰","12.00","0.41000000","111","1.45","1.27"
"1565","精華","13.04","13.50000000","111","5.12","2.12"
"1569","濱川","5.81","1.60000000","110","6.20","0.87"
"1570","力肯","8.10","1.00000000","110","5.51","1.06"
"1580","新麥","10.95","7.00000000","110","6.93","2.00"
"1584","精剛","27.28","0.70000000","111","2.29","2.25"
"1586","和勤","40.24","0.65877051","110","2.00","1.69"
"1591","駿吉-KY","11.26","0.99999989","110","3.66","1.85"
"1593","祺驊","14.75","3.20000000","111","4.09","2.22"
"1595","川寶","6.51","2.00000000","110","4.96","0.71"
"1599","宏佳騰","9.64","3.00000000","110","7.66","1.46"
"1742","台蠟","3.29","0.00000000","111","0.00","0.86"
"1777","生泰","12.49","3.00000000","111","3.63","1.68"
"1781","合世","N/A","0.00000000","111","0.00","1.85"
"1784","訊聯","88.33","0.48579786","110","1.08","1.97"
"1785","光洋科","13.72","1.49056390","110","4.10","1.71"
"1788","杏昌","15.70","7.00000000","110","4.86","2.49"
"1796","金穎生技","41.55","1.50000000","111","1.60","4.69"
"1799","易威","N/A","0.00000000","110","0.00","2.95"
"1813","寶利徠","36.21","0.50000000","111","2.23","1.24"
"1815","富喬","171.43","0.89990560","110","7.50","0.72"
"2035","唐榮","N/A","0.00000000","111","0.00","1.92"
"2061","風青","N/A","1.00000000","110","4.12","2.08"
"2063","世鎧","9.19","3.00000000","111","6.65","2.30"
"2064","晉椿","9.62","1.00000000","110","5.33","1.06"
"2065","世豐","9.01","5.49786626","111","8.78","2.05"
"2066","世德","13.47","2.00000000","110","2.35","2.08"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.23"
"2070","精湛","12.89","1.50000000","110","4.17","1.50"
"2221","大甲","6.53","3.00000000","110","6.86","1.81"
"2230","泰茂","22.32","1.50000000","111","1.90","5.24"
"2235","謚源","8.39","1.50000000","110","3.19","1.22"
"2596","綠意","12.76","1.50000000","110","6.83","1.06"
"2640","大車隊","18.58","5.00000000","111","4.48","3.71"
"2641","正德","3.46","1.49661129","111","6.94","0.96"
"2643","捷迅","4.47","5.00000000","110","6.70","1.46"
"2718","晶悅","N/A","0.00000000","110","0.00","2.29"
"2719","燦星旅","N/A","0.00000000","111","0.00","7.09"
"2724","富驛-KY","N/A","0.00000000","110","0.00","3.64"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","2.55"
"2729","瓦城","45.78","7.15000000","110","2.80","3.83"
"2732","六角","31.24","6.28141100","111","3.37","4.84"
"2734","易飛網","N/A","0.00000000","110","0.00","5.56"
"2736","富野","33.33","0.00000000","110","0.00","1.05"
"2740","天蔥","N/A","0.00000000","111","0.00","5.67"
"2743","山富","N/A","0.00000000","111","0.00","4.68"
"2745","五福","N/A","0.00000000","110","0.00","4.67"
"2752","豆府","27.84","10.00000000","111","3.75","7.34"
"2754","亞洲藏壽司","29.56","0.44974719","110","0.29","4.77"
"2755","揚秦","27.05","5.30000000","111","3.73","4.76"
"2756","聯發國際","15.54","4.50000000","111","3.20","4.68"
"2916","滿心","10.06","3.00000000","111","9.06","1.71"
"2924","宏太-KY","N/A","0.00000000","110","0.00","6.16"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.43"
"2937","集雅社","9.04","1.30000000","111","3.78","1.56"
"2947","振宇五金","26.51","2.20000000","111","2.39","2.46"
"3064","泰偉","N/A","0.00000000","111","0.00","4.25"
"3066","李洲","12.22","0.00000000","111","0.00","2.10"
"3067","全域","6.70","0.00000000","111","0.00","2.67"
"3071","協禧","12.76","1.60000000","110","6.03","1.88"
"3078","僑威","12.40","2.35000000","111","6.06","1.57"
"3081","聯亞","35.73","3.50000000","111","2.71","2.72"
"3083","網龍","N/A","0.00000000","111","0.00","3.46"
"3085","新零售","N/A","0.00000000","110","0.00","3.54"
"3086","華義","45.15","3.50000000","110","4.70","5.27"
"3088","艾訊","11.77","3.50000000","111","4.46","2.01"
"3089","億杰","N/A","0.00000000","110","0.00","5.99"
"3093","港建*","12.18","3.00000000","111","7.46","4.49"
"3095","及成","N/A","0.00000000","110","0.00","5.78"
"3105","穩懋","40.35","2.50000000","111","1.46","2.18"
"3114","好德","6.85","1.50000000","110","5.30","1.11"
"3115","富榮綱","N/A","0.00000000","111","0.00","2.04"
"3118","進階","16.61","1.70000000","111","5.69","1.79"
"3122","笙泉","63.22","0.24000000","111","0.84","2.22"
"3128","昇銳","24.60","0.70000000","110","1.65","2.94"
"3131","弘塑","11.80","18.00000000","111","5.47","2.97"
"3141","晶宏","15.69","4.00146342","110","3.64","3.34"
"3147","大綜","9.29","4.50000000","111","7.04","2.15"
"3152","璟德","52.26","3.59000000","111","1.72","4.05"
"3162","精確","N/A","0.00000000","111","0.00","4.14"
"3163","波若威","9.28","4.20000000","111","7.54","1.90"
"3169","亞信","18.32","5.50000000","111","4.51","4.20"
"3171","新洲","9.89","1.00000000","111","5.52","1.21"
"3176","基亞","N/A","0.00000000","110","0.00","1.77"
"3178","公準","15.75","1.00000000","110","1.27","3.02"
"3188","鑫龍騰","21.15","0.30000000","111","2.33","1.02"
"3191","和進","N/A","0.00000000","110","0.00","2.36"
"3202","樺晟","N/A","0.00000000","110","0.00","1.51"
"3205","佰研","N/A","0.00000000","110","0.00","3.03"
"3206","志豐","8.64","2.20000000","111","7.07","1.41"
"3207","耀勝","26.70","1.50000000","111","1.89","4.73"
"3211","順達","15.50","6.04184000","111","7.31","1.45"
"3213","茂訊","19.13","3.70000000","110","7.36","1.41"
"3217","優群","15.11","5.40070794","111","4.78","2.69"
"3218","大學光","35.84","5.50000000","110","1.55","11.68"
"3219","倚強科","25.85","1.03000000","111","1.84","3.00"
"3221","台嘉碩","3.93","2.09582282","110","7.15","1.25"
"3224","三顧","242.11","0.00000000","110","0.00","2.33"
"3226","至寶電","8.94","2.50000000","111","4.72","2.35"
"3227","原相","14.64","6.00000000","111","5.53","1.74"
"3228","金麗科","372.64","0.00000000","110","0.00","18.58"
"3230","錦明","N/A","0.00000000","110","0.00","1.02"
"3232","昱捷","67.95","0.50000000","111","1.67","2.21"
"3234","光環","N/A","0.00000000","111","0.00","2.34"
"3236","千如","13.77","1.54000000","111","4.99","1.92"
"3252","海灣","20.21","0.50000000","110","2.63","0.48"
"3259","鑫創","N/A","0.00000000","111","0.00","2.94"
"3260","威剛","22.98","2.00000000","111","2.73","1.64"
"3264","欣銓","7.71","3.50000000","111","6.07","1.65"
"3265","台星科","8.80","5.00000000","111","8.45","1.38"
"3268","海德威","10.37","0.60000000","110","2.52","1.48"
"3272","東碩","10.87","2.90000000","111","6.38","1.20"
"3276","宇環","13.02","0.40000000","110","2.77","1.28"
"3284","太普高","N/A","0.00000000","110","0.00","1.38"
"3285","微端","N/A","0.00000000","110","0.00","1.49"
"3287","廣寰科","26.86","0.00000000","110","0.00","1.18"
"3288","點晶","N/A","0.00000000","110","0.00","3.26"
"3289","宜特","20.57","2.00000000","111","2.12","2.15"
"3290","東浦","25.30","0.50000000","110","1.69","1.89"
"3293","鈊象","14.43","35.00000000","111","6.24","7.41"
"3294","英濟","N/A","0.00000000","111","0.00","1.03"
"3297","杭特","176.36","0.00000000","111","0.00","1.20"
"3303","岱稜","9.43","2.00000000","111","7.29","1.33"
"3306","鼎天","98.00","0.50000000","111","2.04","0.84"
"3310","佳穎","30.46","3.10000000","111","4.71","2.64"
"3313","斐成","N/A","0.00000000","111","0.00","1.20"
"3317","尼克森","8.14","2.00000000","111","3.47","1.32"
"3322","建舜電","9.50","0.60000000","111","2.52","1.87"
"3323","加百裕","12.29","1.50000000","111","4.44","1.05"
"3324","雙鴻","13.08","6.50000000","111","3.39","2.97"
"3325","旭品","N/A","0.00000000","111","0.00","1.28"
"3332","幸康","10.26","2.50000000","111","5.73","1.29"
"3339","泰谷","N/A","0.00000000","111","0.00","1.12"
"3349","寶德","N/A","1.20000000","110","8.33","1.23"
"3354","律勝","N/A","0.20000000","111","1.46","0.96"
"3357","臺慶科","11.42","6.00000000","111","5.19","1.81"
"3360","尚立","43.44","0.80000000","111","5.76","1.00"
"3362","先進光","42.24","0.00000000","110","0.00","5.51"
"3363","上詮","47.08","0.50000000","111","2.00","1.33"
"3372","典範","24.59","0.50000000","111","4.15","0.99"
"3373","熱映","24.50","1.50000000","110","6.12","1.03"
"3374","精材","15.05","3.00000000","111","2.73","4.04"
"3379","彬台","55.68","0.00000000","111","0.00","1.01"
"3388","崇越電","11.71","4.41000000","111","5.98","1.21"
"3390","旭軟","10.99","0.68000000","111","3.62","1.11"
"3402","漢科","10.35","4.20000000","111","8.28","2.18"
"3426","台興","13.96","2.30000000","111","5.82","1.50"
"3430","奇鈦科","8.51","3.00000000","111","6.15","1.70"
"3434","哲固","17.23","1.60000000","111","5.53","2.35"
"3438","類比科","27.51","1.40000000","111","2.22","2.07"
"3441","聯一光","18.29","1.50000000","111","3.25","2.36"
"3444","利機","12.40","3.80000000","111","6.12","2.64"
"3455","由田","7.51","8.50000000","111","9.02","1.98"
"3465","進泰電子","11.80","8.50000000","110","9.31","3.75"
"3466","致振","N/A","0.00000000","110","0.00","1.75"
"3479","安勤","14.29","2.58057140","110","2.66","2.57"
"3483","力致","10.75","4.00000000","111","5.81","1.53"
"3484","崧騰","7.34","4.10000000","110","9.36","1.20"
"3489","森寶","36.38","0.30000000","111","2.84","0.67"
"3490","單井","11.94","1.20000000","110","4.70","1.11"
"3491","昇達科","38.03","4.00000000","110","2.35","5.47"
"3492","長盛","16.09","0.30000000","110","1.46","1.24"
"3498","陽程","N/A","0.00000000","110","0.00","1.00"
"3499","環天科","83.60","0.00000000","110","0.00","1.94"
"3508","位速","N/A","0.00000000","110","0.00","3.96"
"3511","矽瑪","12.07","2.50000000","111","6.64","1.71"
"3512","皇龍","6.37","3.00000000","110","9.48","1.45"
"3516","亞帝歐","20.35","0.60000000","111","3.47","0.66"
"3520","華盈","12.99","0.00000000","110","0.00","1.80"
"3521","鴻翊","N/A","0.00000000","111","0.00","2.63"
