上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/20
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.37","2.50000000","110","5.56","1.45"
"1258","其祥-KY","16.18","0.00000000","110","0.00","1.60"
"1259","安心","18.51","2.60000000","111","3.49","1.21"
"1264","德麥","15.20","12.00000000","110","4.47","3.57"
"1268","漢來美食","43.34","3.00000000","110","2.25","3.05"
"1336","台翰","11.77","0.41000000","111","1.48","1.24"
"1565","精華","12.36","15.00000000","110","5.74","2.17"
"1569","濱川","5.63","1.60000000","110","6.40","0.84"
"1570","力肯","7.97","1.00000000","110","5.60","1.04"
"1580","新麥","10.85","7.00000000","110","7.00","1.98"
"1584","精剛","26.79","0.70000000","111","2.33","2.21"
"1586","和勤","40.91","0.65877051","110","1.96","1.72"
"1591","駿吉-KY","11.28","0.99999989","110","3.65","1.85"
"1593","祺驊","14.70","3.20000000","111","4.11","2.22"
"1595","川寶","6.40","2.00000000","110","5.04","0.70"
"1599","宏佳騰","9.56","3.00000000","110","7.73","1.45"
"1742","台蠟","3.36","1.68730000","110","10.89","0.88"
"1777","生泰","12.34","3.00000000","111","3.67","1.66"
"1781","合世","N/A","0.00000000","110","0.00","1.85"
"1784","訊聯","88.04","0.48579786","110","1.08","1.97"
"1785","光洋科","13.79","1.49056390","110","4.08","1.72"
"1788","杏昌","15.65","7.00000000","110","4.88","2.48"
"1796","金穎生技","40.71","1.50000000","111","1.63","4.59"
"1799","易威","N/A","0.00000000","110","0.00","2.82"
"1813","寶利徠","36.13","0.50000000","111","2.23","1.24"
"1815","富喬","167.86","0.89990560","110","7.66","0.70"
"2035","唐榮","N/A","0.00000000","111","0.00","1.95"
"2061","風青","N/A","1.00000000","110","4.11","2.09"
"2063","世鎧","9.12","3.00000000","111","6.70","2.29"
"2064","晉椿","9.46","1.00000000","110","5.42","1.05"
"2065","世豐","8.69","5.49786626","111","9.10","1.97"
"2066","世德","13.43","2.00000000","110","2.36","2.08"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.27"
"2070","精湛","12.85","1.50000000","110","4.18","1.50"
"2221","大甲","6.46","3.00000000","110","6.94","1.79"
"2230","泰茂","23.11","0.00000000","110","0.00","5.42"
"2235","謚源","8.39","1.50000000","110","3.19","1.22"
"2596","綠意","12.38","1.50000000","110","7.04","1.03"
"2640","大車隊","19.25","5.00000000","111","4.33","3.84"
"2641","正德","3.46","1.49661129","111","6.94","0.96"
"2643","捷迅","4.32","5.00000000","110","6.64","1.52"
"2718","晶悅","N/A","0.00000000","110","0.00","2.11"
"2719","燦星旅","N/A","0.00000000","110","0.00","6.42"
"2724","富驛-KY","N/A","0.00000000","110","0.00","3.53"
"2726","雅茗-KY","N/A","0.00000000","110","0.00","2.63"
"2729","瓦城","44.17","7.15000000","110","2.91","3.70"
"2732","六角","28.39","4.28222089","111","2.53","4.40"
"2734","易飛網","N/A","0.00000000","110","0.00","5.25"
"2736","富野","32.73","0.00000000","110","0.00","1.03"
"2740","天蔥","N/A","0.00000000","111","0.00","5.67"
"2743","山富","N/A","0.00000000","111","0.00","4.55"
"2745","五福","N/A","0.00000000","110","0.00","4.56"
"2752","豆府","27.95","10.00000000","111","3.73","7.37"
"2754","亞洲藏壽司","29.65","0.44974719","110","0.29","4.78"
"2755","揚秦","26.67","5.30000000","111","3.79","4.70"
"2756","聯發國際","15.82","4.50000000","111","3.15","4.76"
"2916","滿心","10.05","3.00000000","111","9.08","1.71"
"2924","宏太-KY","N/A","0.00000000","110","0.00","6.16"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.42"
"2937","集雅社","9.08","1.30000000","111","3.76","1.70"
"2947","振宇五金","26.51","2.20000000","111","2.39","2.46"
"3064","泰偉","N/A","0.00000000","111","0.00","4.25"
"3066","李洲","12.15","0.00000000","110","0.00","2.08"
"3067","全域","6.71","0.00000000","111","0.00","2.67"
"3071","協禧","11.88","1.60000000","110","6.18","1.84"
"3078","僑威","12.17","2.35000000","111","6.17","1.54"
"3081","聯亞","31.86","3.50000000","111","3.04","2.43"
"3083","網龍","N/A","0.00000000","111","0.00","3.42"
