上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/05/30
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","237.63","1.20000000","111","2.66","1.39"
"1258","其祥-KY","7.63","0.00000000","111","0.00","1.30"
"1259","安心","16.38","2.60000000","111","3.42","1.13"
"1264","德麥","16.51","12.00000000","111","4.25","3.95"
"1268","漢來美食","31.47","3.00000000","111","1.90","3.30"
"1336","台翰","13.12","0.41000000","111","1.68","1.13"
"1565","精華","13.58","13.50000000","111","5.66","2.09"
"1569","濱川","25.60","2.00000000","111","8.58","0.83"
"1570","力肯","10.44","1.00000000","111","5.24","1.05"
"1580","新麥","16.79","6.00000000","111","4.55","2.75"
"1584","精剛","33.06","0.70000000","111","1.96","2.55"
"1586","和勤","N/A","0.25000000","111","0.74","1.87"
"1591","駿吉-KY","23.28","0.50000000","111","1.68","2.11"
"1593","祺驊","14.87","3.20000000","111","4.31","2.19"
"1595","川寶","10.91","2.00000000","111","5.11","0.71"
"1599","宏佳騰","18.72","1.50000000","111","3.95","1.50"
"1742","台蠟","N/A","0.00000000","111","0.00","1.19"
"1777","生泰","12.81","3.00000000","111","3.41","1.84"
"1781","合世","N/A","0.00000000","111","0.00","1.92"
"1784","訊聯","53.95","0.69884410","111","1.14","2.70"
"1785","光洋科","18.76","1.50000000","111","4.04","1.71"
"1788","杏昌","16.44","7.00000000","111","4.79","2.17"
"1796","金穎生技","50.80","1.50000000","111","1.19","6.56"
"1799","易威","N/A","0.00000000","111","0.00","3.42"
"1813","寶利徠","N/A","0.50000000","111","2.24","1.31"
"1815","富喬","N/A","0.30000000","111","2.48","0.74"
"2035","唐榮","N/A","0.00000000","111","0.00","1.92"
"2061","風青","N/A","0.00000000","111","0.00","1.91"
"2063","世鎧","9.87","3.00000000","111","6.38","2.48"
"2064","晉椿","N/A","1.00000000","111","5.78","1.11"
"2065","世豐","8.17","5.49786626","111","9.24","2.07"
"2066","世德","12.00","4.50000000","111","4.78","2.09"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.45"
"2070","精湛","20.03","1.50000000","111","4.77","1.36"
"2221","大甲","7.47","4.00000000","111","9.66","1.60"
"2230","泰茂","23.71","1.50000000","111","1.82","5.15"
"2235","謚源","12.99","4.00000000","111","8.77","1.20"
"2596","綠意","N/A","1.00000000","111","4.39","1.11"
"2640","大車隊","22.18","5.00000000","111","3.69","5.03"
"2641","正德","3.83","1.49661129","111","8.48","0.84"
"2643","捷迅","4.59","7.00000000","111","9.67","1.37"
"2718","晶悅","18.06","0.00000000","111","0.00","2.19"
"2719","燦星旅","N/A","0.00000000","111","0.00","8.89"
"2724","富驛-KY","N/A","0.00000000","111","0.00","3.35"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","4.02"
"2729","瓦城","43.23","5.00000000","111","1.87","3.57"
"2732","六角","24.75","6.28141100","111","3.60","4.54"
"2734","易飛網","N/A","0.00000000","111","0.00","6.08"
"2736","富野","72.22","0.20000000","111","0.51","1.60"
"2740","天蔥","N/A","0.00000000","111","0.00","5.33"
"2743","山富","151.81","0.00000000","111","0.00","7.39"
"2745","五福","N/A","0.00000000","111","0.00","5.56"
"2752","豆府","22.17","10.00000000","111","3.82","7.66"
"2754","亞洲藏壽司","29.96","1.50000000","111","0.88","5.02"
"2755","揚秦","27.03","5.30000000","111","3.71","4.59"
"2756","聯發國際","19.26","4.50000000","111","3.27","5.62"
"2916","滿心","11.25","3.00000000","111","6.96","2.46"
"2924","宏太-KY","64.62","0.00000000","111","0.00","4.65"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.62"
"2937","集雅社","10.90","1.30000000","111","3.83","1.58"
"2947","振宇五金","33.05","2.20000000","111","2.39","2.49"
"3064","泰偉","N/A","0.00000000","111","0.00","5.47"
"3066","李洲","10.80","0.00000000","111","0.00","1.59"
"3067","全域","N/A","0.00000000","111","0.00","3.00"
"3071","協禧","17.86","1.67021014","111","5.05","2.31"
"3078","僑威","16.62","2.35000000","111","4.02","2.25"
"3081","聯亞","34.87","3.50000000","111","3.30","2.43"
"3083","網龍","N/A","0.00000000","111","0.00","3.45"
"3085","新零售","N/A","0.00000000","111","0.00","3.77"
"3086","華義","56.50","1.20000000","111","1.73","5.18"
"3088","艾訊","12.40","3.50000000","111","4.38","2.12"
"3089","億杰","N/A","0.00000000","111","0.00","8.44"
"3093","港建*","12.83","3.00000000","111","8.23","5.73"
"3095","及成","N/A","0.00000000","111","0.00","10.90"
"3105","穩懋","130.33","2.50000000","111","1.57","2.09"
"3114","好德","10.02","1.70000000","111","6.26","1.05"
