上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/07
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","46.89","2.50000000","110","5.61","1.44"
"1258","其祥-KY","13.55","0.00000000","110","0.00","1.34"
"1259","安心","14.57","2.30000000","110","3.10","1.24"
"1264","德麥","15.51","12.00000000","110","4.38","3.64"
"1268","漢來美食","30.34","3.00000000","110","2.27","3.22"
"1336","台翰","12.66","0.40000000","110","1.34","1.34"
"1565","精華","12.38","15.00000000","110","5.73","2.18"
"1569","濱川","5.34","1.60000000","110","6.75","0.80"
"1570","力肯","7.97","1.00000000","110","5.60","1.04"
"1580","新麥","10.22","7.00000000","110","7.43","1.86"
"1584","精剛","28.32","0.20000000","110","0.77","1.97"
"1586","和勤","41.40","0.65877051","110","1.94","1.74"
"1591","駿吉-KY","9.67","0.99999989","110","4.26","1.59"
"1593","祺驊","13.47","3.59585002","110","5.04","2.03"
"1595","川寶","6.19","2.00000000","110","5.22","0.68"
"1599","宏佳騰","9.89","3.00000000","110","7.47","1.50"
"1742","台蠟","3.18","1.68730000","110","11.52","0.83"
"1777","生泰","15.59","1.93148000","110","2.26","1.76"
"1781","合世","N/A","0.00000000","110","0.00","1.87"
"1784","訊聯","93.14","0.48579786","110","1.02","2.08"
"1785","光洋科","14.19","1.49056390","110","3.96","1.77"
"1788","杏昌","15.87","7.00000000","110","4.81","2.51"
"1796","金穎生技","32.93","1.00000000","110","1.35","3.78"
"1799","易威","N/A","0.00000000","110","0.00","2.19"
"1813","寶利徠","34.52","0.50000000","110","2.34","1.18"
"1815","富喬","19.69","0.89990560","110","7.14","0.73"
"2035","唐榮","30.57","0.00000000","110","0.00","1.97"
"2061","風青","N/A","1.00000000","110","3.72","2.30"
"2063","世鎧","10.80","3.00000000","110","6.51","2.26"
"2064","晉椿","9.49","1.00000000","110","5.41","1.05"
"2065","世豐","8.06","5.13677507","110","9.37","1.80"
"2066","世德","13.02","2.00000000","110","2.43","2.01"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.18"
"2070","精湛","13.62","1.50000000","110","3.95","1.59"
"2221","大甲","5.72","3.00000000","110","7.83","1.59"
"2230","泰茂","15.17","0.00000000","110","0.00","3.56"
"2235","謚源","8.37","1.50000000","110","3.20","1.22"
"2596","綠意","10.76","1.50000000","110","8.11","0.89"
"2640","大車隊","14.85","3.50000000","110","3.77","3.24"
"2641","正德","4.49","0.80000000","110","4.41","0.86"
"2643","捷迅","3.96","5.00000000","110","7.26","1.39"
"2718","晶悅","N/A","0.00000000","110","0.00","1.90"
"2719","燦星旅","N/A","0.00000000","110","0.00","4.60"
"2724","富驛-KY","N/A","0.00000000","110","0.00","3.26"
"2726","雅茗-KY","N/A","0.00000000","110","0.00","2.34"
"2729","瓦城","40.57","7.15000000","110","3.16","3.40"
"2732","六角","23.62","2.34154614","110","1.66","3.66"
"2734","易飛網","N/A","0.00000000","110","0.00","4.78"
"2736","富野","31.20","0.00000000","110","0.00","0.98"
"2740","天蔥","N/A","0.00000000","110","0.00","5.30"
"2743","山富","N/A","0.00000000","110","0.00","4.84"
"2745","五福","N/A","0.00000000","110","0.00","4.53"
"2752","豆府","23.98","5.70000000","110","2.48","6.32"
"2754","亞洲藏壽司","25.49","0.44974719","110","0.32","4.55"
"2755","揚秦","15.63","3.00000000","110","3.33","3.11"
"2756","聯發國際","12.11","6.00000000","110","5.48","3.65"
"2916","滿心","8.89","2.20000000","110","7.21","1.73"
"2924","宏太-KY","N/A","0.00000000","110","0.00","6.08"
"2926","誠品生活","N/A","0.00000000","110","0.00","4.23"
"2937","集雅社","9.40","2.24602266","110","6.27","1.76"
"2947","振宇五金","23.03","3.80000000","110","4.00","2.56"
"3064","泰偉","N/A","0.00000000","110","0.00","4.28"
"3066","李洲","11.62","0.00000000","110","0.00","1.99"
"3067","全域","7.07","0.00000000","110","0.00","2.81"
"3071","協禧","11.63","1.60000000","110","6.31","1.80"
"3073","天方能源","N/A","0.00000000","110","0.00","2.26"
"3078","僑威","8.72","3.25000000","110","11.09","1.21"
"3081","聯亞","36.98","3.50000000","111","2.62","2.82"
"3083","網龍","N/A","0.00000000","110","0.00","3.69"
"3086","華義","48.61","3.50000000","110","4.36","5.67"
