上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/21
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.26","2.50000000","110","5.57","1.45"
"1258","其祥-KY","14.39","0.00000000","110","0.00","1.42"
"1259","安心","14.84","2.30000000","110","3.04","1.26"
"1264","德麥","15.34","12.00000000","110","4.43","3.60"
"1268","漢來美食","33.45","3.00000000","110","2.06","3.55"
"1336","台翰","12.43","0.40000000","110","1.37","1.31"
"1565","精華","12.31","15.00000000","110","5.76","2.16"
"1569","濱川","5.42","1.60000000","110","6.65","0.81"
"1570","力肯","8.04","1.00000000","110","5.56","1.05"
"1580","新麥","10.39","7.00000000","110","7.31","1.90"
"1584","精剛","31.90","0.20000000","110","0.68","2.22"
"1586","和勤","41.16","0.65877051","110","1.95","1.73"
"1591","駿吉-KY","10.91","0.99999989","110","3.77","1.79"
"1593","祺驊","15.87","3.59585002","110","4.28","2.39"
"1595","川寶","6.23","2.00000000","110","5.18","0.68"
"1599","宏佳騰","9.66","3.00000000","110","7.65","1.46"
"1742","台蠟","3.24","1.68730000","110","11.29","0.85"
"1777","生泰","16.34","1.93148000","110","2.15","1.84"
"1781","合世","N/A","0.00000000","110","0.00","1.93"
"1784","訊聯","86.47","0.48579786","110","1.10","1.93"
"1785","光洋科","14.21","1.49056390","110","3.96","1.78"
"1788","杏昌","15.98","7.00000000","110","4.78","2.53"
"1796","金穎生技","39.42","1.00000000","110","1.13","4.52"
"1799","易威","N/A","0.00000000","110","0.00","2.32"
"1813","寶利徠","35.97","0.50000000","110","2.24","1.23"
"1815","富喬","19.84","0.89990560","110","7.09","0.74"
"2035","唐榮","30.67","0.00000000","110","0.00","1.98"
"2061","風青","N/A","1.00000000","110","3.76","2.28"
"2063","世鎧","10.78","3.00000000","110","6.51","2.26"
"2064","晉椿","9.74","1.00000000","110","5.26","1.08"
"2065","世豐","8.59","5.13677507","110","8.80","1.92"
"2066","世德","13.66","2.00000000","110","2.32","2.11"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.21"
