上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/13
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.05","2.50000000","110","5.59","1.44"
"1258","其祥-KY","14.24","0.00000000","110","0.00","1.41"
"1259","安心","14.63","2.30000000","110","3.08","1.25"
"1264","德麥","15.20","12.00000000","110","4.47","3.57"
"1268","漢來美食","31.26","3.00000000","110","2.21","3.32"
"1336","台翰","12.17","0.40000000","110","1.40","1.29"
"1565","精華","11.93","15.00000000","110","5.94","2.10"
"1569","濱川","5.32","1.60000000","110","6.78","0.79"
"1570","力肯","8.01","1.00000000","110","5.57","1.04"
"1580","新麥","10.26","7.00000000","110","7.40","1.87"
"1584","精剛","28.70","0.20000000","110","0.76","2.00"
"1586","和勤","41.28","0.65877051","110","1.95","1.73"
"1591","駿吉-KY","10.02","0.99999989","110","4.11","1.64"
"1593","祺驊","15.26","3.59585002","110","4.44","2.30"
"1595","川寶","6.21","2.00000000","110","5.19","0.68"
"1599","宏佳騰","9.57","3.00000000","110","7.72","1.45"
"1742","台蠟","3.16","1.68730000","110","11.60","0.83"
"1777","生泰","15.66","1.93148000","110","2.25","1.77"
"1781","合世","N/A","0.00000000","110","0.00","1.94"
"1784","訊聯","90.88","0.48579786","110","1.05","2.03"
"1785","光洋科","13.92","1.49056390","110","4.04","1.74"
"1788","杏昌","15.98","7.00000000","110","4.78","2.53"
"1796","金穎生技","32.00","1.00000000","110","1.39","3.67"
"1799","易威","N/A","0.00000000","110","0.00","2.20"
"1813","寶利徠","35.24","0.50000000","110","2.29","1.21"
"1815","富喬","19.38","0.89990560","110","7.26","0.72"
"2035","唐榮","30.52","0.00000000","110","0.00","1.97"
"2061","風青","N/A","1.00000000","110","3.79","2.26"
"2063","世鎧","10.66","3.00000000","110","6.59","2.23"
"2064","晉椿","9.31","1.00000000","110","5.51","1.03"
"2065","世豐","8.19","5.13677507","110","9.22","1.83"
"2066","世德","13.59","2.00000000","110","2.33","2.10"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.22"
"2070","精湛","13.76","1.50000000","110","3.91","1.61"
"2221","大甲","5.74","3.00000000","110","7.81","1.59"
"2230","泰茂","15.06","0.00000000","110","0.00","3.53"
"2235","謚源","8.37","1.50000000","110","3.20","1.22"
"2596","綠意","10.76","1.50000000","110","8.11","0.89"
"2640","大車隊","15.52","3.50000000","110","3.61","3.38"
"2641","正德","4.28","0.80000000","110","4.62","0.82"
"2643","捷迅","3.96","5.00000000","110","7.25","1.40"
"2718","晶悅","N/A","0.00000000","110","0.00","1.89"
"2719","燦星旅","N/A","0.00000000","110","0.00","4.48"
"2724","富驛-KY","N/A","0.00000000","110","0.00","3.26"
"2726","雅茗-KY","N/A","0.00000000","110","0.00","2.32"
"2729","瓦城","42.55","7.15000000","110","3.02","3.56"
"2732","六角","24.12","2.34154614","110","1.63","3.74"
"2734","易飛網","N/A","0.00000000","110","0.00","4.72"
"2736","富野","29.73","0.00000000","110","0.00","0.94"
"2740","天蔥","N/A","0.00000000","110","0.00","4.83"
"2743","山富","N/A","0.00000000","110","0.00","4.72"
"2745","五福","N/A","0.00000000","110","0.00","4.49"
"2752","豆府","26.28","5.70000000","110","2.26","6.93"
"2754","亞洲藏壽司","28.10","0.44974719","110","0.29","5.02"
"2755","揚秦","15.47","3.00000000","110","3.37","3.08"
"2756","聯發國際","12.89","6.00000000","110","5.15","3.88"
"2916","滿心","9.11","2.20000000","110","7.04","1.78"
"2924","宏太-KY","N/A","0.00000000","110","0.00","6.23"
"2926","誠品生活","N/A","0.00000000","110","0.00","4.14"
"2937","集雅社","9.49","2.24602266","110","6.21","1.78"
"2947","振宇五金","23.91","3.80000000","110","3.86","2.66"
"3064","泰偉","N/A","0.00000000","110","0.00","4.12"
"3066","李洲","11.47","0.00000000","110","0.00","1.97"
"3067","全域","6.75","0.00000000","110","0.00","2.68"
"3071","協禧","11.35","1.60000000","110","6.46","1.76"
"3073","天方能源","N/A","0.00000000","110","0.00","2.29"
