上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/04/21
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","329.64","1.20000000","111","2.60","1.45"
"1258","其祥-KY","10.43","0.00000000","111","0.00","1.39"
"1259","安心","18.43","2.60000000","111","3.51","1.21"
"1264","德麥","15.92","12.00000000","111","4.41","3.43"
"1268","漢來美食","46.27","3.00000000","111","2.11","3.25"
"1336","台翰","12.68","0.41000000","111","1.58","1.19"
"1565","精華","12.44","13.50000000","111","5.37","2.02"
"1569","濱川","7.45","2.00000000","111","8.32","0.82"
"1570","力肯","8.64","1.00000000","111","5.51","1.02"
"1580","新麥","15.45","6.00000000","111","5.80","2.01"
"1584","精剛","35.58","0.70000000","111","1.76","2.93"
"1586","和勤","64.15","0.25000000","111","0.74","1.79"
"1591","駿吉-KY","10.90","0.99999989","110","3.66","1.86"
"1593","祺驊","14.60","3.20000000","111","4.18","2.14"
"1595","川寶","8.02","2.00000000","111","5.14","0.69"
"1599","宏佳騰","10.12","1.50000000","111","3.94","1.38"
"1742","台蠟","N/A","0.00000000","111","0.00","1.07"
"1777","生泰","12.84","3.00000000","111","3.53","1.72"
"1781","合世","N/A","0.00000000","111","0.00","1.90"
"1784","訊聯","69.88","0.69884410","111","1.25","2.43"
"1785","光洋科","15.17","1.50000000","111","4.21","1.66"
"1788","杏昌","15.73","7.00000000","110","4.91","2.37"
"1796","金穎生技","49.78","1.50000000","111","1.33","5.61"
"1799","易威","N/A","0.00000000","111","0.00","3.11"
"1813","寶利徠","155.36","0.50000000","111","2.30","1.25"
"1815","富喬","167.86","0.30000000","111","2.55","0.70"
"2035","唐榮","N/A","0.00000000","111","0.00","1.94"
"2061","風青","N/A","0.00000000","111","0.00","1.97"
"2063","世鎧","8.22","3.00000000","111","7.43","2.06"
"2064","晉椿","15.31","1.00000000","111","5.73","1.01"
"2065","世豐","8.47","5.49786626","111","9.33","1.92"
"2066","世德","11.84","2.00000000","110","2.10","2.22"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.44"
"2070","精湛","14.25","1.50000000","111","4.54","1.34"
"2221","大甲","6.66","4.00000000","111","9.48","1.67"
"2230","泰茂","25.68","1.50000000","111","1.84","5.64"
"2235","謚源","9.93","4.00000000","111","8.77","1.21"
"2596","綠意","38.88","1.50000000","110","6.65","1.09"
"2640","大車隊","19.67","5.00000000","111","4.24","3.92"
"2641","正德","3.03","1.49661129","111","7.94","0.84"
"2643","捷迅","4.18","5.00000000","110","7.16","1.36"
"2718","晶悅","N/A","0.00000000","110","0.00","2.53"
"2719","燦星旅","N/A","0.00000000","111","0.00","6.44"
"2724","富驛-KY","N/A","0.00000000","111","0.00","3.27"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","3.96"
"2729","瓦城","64.23","5.00000000","111","2.15","3.31"
"2732","六角","24.92","6.28141100","111","3.84","4.02"
"2734","易飛網","N/A","0.00000000","110","0.00","4.81"
"2736","富野","91.88","0.20000000","111","0.91","0.93"
"2740","天蔥","N/A","0.00000000","111","0.00","5.44"
"2743","山富","N/A","0.00000000","111","0.00","3.93"
"2745","五福","N/A","0.00000000","111","0.00","4.51"
"2752","豆府","23.94","10.00000000","111","4.03","6.17"
"2754","亞洲藏壽司","31.38","0.44974719","110","0.28","5.06"
"2755","揚秦","28.19","5.30000000","111","3.58","4.96"
"2756","聯發國際","20.15","4.50000000","111","3.14","5.51"
"2916","滿心","10.18","3.00000000","111","8.96","1.73"
"2924","宏太-KY","135.00","0.00000000","111","0.00","5.44"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.62"
"2937","集雅社","9.00","1.30000000","111","3.80","1.55"
"2947","振宇五金","26.57","2.20000000","111","2.39","2.47"
"3064","泰偉","N/A","0.00000000","111","0.00","4.63"
"3066","李洲","8.70","0.00000000","111","0.00","1.69"
"3067","全域","N/A","0.00000000","111","0.00","2.69"
"3071","協禧","14.47","1.60000000","110","5.32","2.13"
"3078","僑威","16.45","2.35000000","111","4.56","2.08"
"3081","聯亞","33.80","3.50000000","111","2.87","2.57"
"3083","網龍","N/A","0.00000000","111","0.00","3.35"
"3085","新零售","N/A","0.00000000","111","0.00","3.56"
"3086","華義","44.42","1.20000000","111","1.64","5.21"
"3088","艾訊","11.17","3.50000000","111","4.70","1.91"
"3089","億杰","N/A","0.00000000","111","0.00","7.48"
"3093","港建*","11.32","3.00000000","111","8.03","4.17"
"3095","及成","N/A","0.00000000","111","0.00","6.53"
"3105","穩懋","39.76","2.50000000","111","1.48","2.15"
"3114","好德","8.15","1.70000000","111","6.26","1.16"
"3115","富榮綱","N/A","0.00000000","111","0.00","2.04"
"3118","進階","17.50","1.70000000","111","5.40","1.89"
"3122","笙泉","55.11","0.24000000","111","0.97","1.93"
"3128","昇銳","21.11","0.70000000","110","1.84","2.55"
"3131","弘塑","13.29","18.00000000","111","5.35","2.85"
"3141","晶宏","14.55","2.66782706","111","2.62","3.10"
"3147","大綜","9.83","4.50000000","111","6.66","2.27"
"3152","璟德","54.14","3.59000000","111","1.66","4.19"
"3162","精確","N/A","0.00000000","111","0.00","2.64"
"3163","波若威","9.02","4.20000000","111","7.76","1.84"
"3169","亞信","19.74","5.50000000","111","4.18","4.52"
"3171","新洲","9.54","1.00000000","111","5.73","1.17"
"3176","基亞","N/A","0.00000000","111","0.00","2.10"
"3178","公準","17.35","1.00000000","110","1.15","3.33"
"3188","鑫龍騰","22.95","0.30000000","111","2.14","1.11"
"3191","和進","N/A","0.00000000","111","0.00","2.37"
"3202","樺晟","N/A","0.00000000","111","0.00","1.80"
"3205","佰研","N/A","0.00000000","111","0.00","3.29"
"3206","志豐","9.15","2.20000000","111","6.68","1.50"
