上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/10
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","46.79","2.50000000","110","5.62","1.44"
"1258","其祥-KY","13.48","0.00000000","110","0.00","1.33"
"1259","安心","14.61","2.30000000","110","3.09","1.24"
"1264","德麥","15.25","12.00000000","110","4.45","3.58"
"1268","漢來美食","31.61","3.00000000","110","2.18","3.35"
"1336","台翰","12.74","0.40000000","110","1.34","1.35"
"1565","精華","11.96","15.00000000","110","5.93","2.10"
"1569","濱川","5.25","1.60000000","110","6.87","0.78"
"1570","力肯","8.06","1.00000000","110","5.54","1.05"
"1580","新麥","10.25","7.00000000","110","7.41","1.87"
"1584","精剛","29.73","0.20000000","110","0.73","2.07"
"1586","和勤","41.28","0.65877051","110","1.95","1.73"
"1591","駿吉-KY","10.21","0.99999989","110","4.03","1.67"
"1593","祺驊","15.23","3.59585002","110","4.46","2.30"
"1595","川寶","6.21","2.00000000","110","5.19","0.68"
"1599","宏佳騰","9.83","3.00000000","110","7.52","1.49"
"1742","台蠟","3.23","1.68730000","110","11.32","0.85"
"1777","生泰","15.65","1.93148000","110","2.25","1.77"
"1781","合世","N/A","0.00000000","110","0.00","2.01"
"1784","訊聯","90.78","0.48579786","110","1.05","2.03"
"1785","光洋科","13.96","1.49056390","110","4.03","1.74"
"1788","杏昌","15.87","7.00000000","110","4.81","2.51"
"1796","金穎生技","31.87","1.00000000","110","1.39","3.65"
"1799","易威","N/A","0.00000000","110","0.00","2.20"
"1813","寶利徠","35.16","0.50000000","110","2.29","1.21"
"1815","富喬","19.45","0.89990560","110","7.23","0.73"
"2035","唐榮","30.38","0.00000000","110","0.00","1.96"
"2061","風青","N/A","1.00000000","110","3.88","2.21"
"2063","世鎧","10.54","3.00000000","110","6.67","2.21"
"2064","晉椿","9.54","1.00000000","110","5.38","1.06"
"2065","世豐","8.10","5.13677507","110","9.32","1.81"
"2066","世德","13.42","2.00000000","110","2.36","2.07"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.23"
"2070","精湛","13.82","1.50000000","110","3.89","1.61"
