上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/09
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","46.79","2.50000000","110","5.62","1.44"
"1258","其祥-KY","13.64","0.00000000","110","0.00","1.35"
"1259","安心","14.63","2.30000000","110","3.08","1.25"
"1264","德麥","15.22","12.00000000","110","4.46","3.57"
"1268","漢來美食","30.92","3.00000000","110","2.23","3.28"
"1336","台翰","13.04","0.40000000","110","1.31","1.38"
"1565","精華","12.05","15.00000000","110","5.88","2.12"
"1569","濱川","5.32","1.60000000","110","6.78","0.79"
"1570","力肯","8.08","1.00000000","110","5.52","1.05"
"1580","新麥","10.31","7.00000000","110","7.36","1.88"
"1584","精剛","29.35","0.20000000","110","0.74","2.04"
"1586","和勤","41.34","0.65877051","110","1.94","1.74"
"1591","駿吉-KY","10.12","0.99999989","110","4.07","1.66"
"1593","祺驊","14.79","3.59585002","110","4.59","2.23"
"1595","川寶","6.23","2.00000000","110","5.18","0.68"
"1599","宏佳騰","9.91","3.00000000","110","7.45","1.50"
"1742","台蠟","3.23","1.68730000","110","11.32","0.85"
"1777","生泰","15.85","1.93148000","110","2.22","1.79"
"1781","合世","N/A","0.00000000","110","0.00","1.87"
"1784","訊聯","92.16","0.48579786","110","1.03","2.06"
"1785","光洋科","14.19","1.49056390","110","3.96","1.77"
"1788","杏昌","15.92","7.00000000","110","4.79","2.52"
"1796","金穎生技","31.78","1.00000000","110","1.40","3.64"
"1799","易威","N/A","0.00000000","110","0.00","2.20"
"1813","寶利徠","34.84","0.50000000","110","2.31","1.19"
"1815","富喬","19.77","0.89990560","110","7.11","0.74"
"2035","唐榮","30.52","0.00000000","110","0.00","1.97"
"2061","風青","N/A","1.00000000","110","3.80","2.26"
"2063","世鎧","10.60","3.00000000","110","6.63","2.22"
"2064","晉椿","9.44","1.00000000","110","5.43","1.04"
"2065","世豐","8.07","5.13677507","110","9.36","1.80"
"2066","世德","13.51","2.00000000","110","2.34","2.09"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.20"
"2070","精湛","13.69","1.50000000","110","3.93","1.60"
"2221","大甲","5.81","3.00000000","110","7.72","1.61"
"2230","泰茂","15.00","0.00000000","110","0.00","3.52"
"2235","謚源","8.42","1.50000000","110","3.18","1.23"
"2596","綠意","10.76","1.50000000","110","8.11","0.89"
"2640","大車隊","15.01","3.50000000","110","3.73","3.27"
"2641","正德","4.48","0.80000000","110","4.42","0.86"
"2643","捷迅","3.97","5.00000000","110","7.24","1.40"
"2718","晶悅","N/A","0.00000000","110","0.00","1.90"
"2719","燦星旅","N/A","0.00000000","110","0.00","4.62"
"2724","富驛-KY","N/A","0.00000000","110","0.00","3.26"
"2726","雅茗-KY","N/A","0.00000000","110","0.00","2.31"
"2729","瓦城","40.57","7.15000000","110","3.16","3.40"
"2732","六角","24.12","2.34154614","110","1.63","3.74"
"2734","易飛網","N/A","0.00000000","110","0.00","4.80"
"2736","富野","30.47","0.00000000","110","0.00","0.96"
"2740","天蔥","N/A","0.00000000","110","0.00","5.30"
"2743","山富","N/A","0.00000000","110","0.00","4.76"
"2745","五福","N/A","0.00000000","110","0.00","4.55"
"2752","豆府","24.87","5.70000000","110","2.39","6.56"
"2754","亞洲藏壽司","25.40","0.44974719","110","0.32","4.54"
"2755","揚秦","15.40","3.00000000","110","3.38","3.07"
"2756","聯發國際","12.11","6.00000000","110","5.48","3.65"
"2916","滿心","9.10","2.20000000","110","7.05","1.77"
"2924","宏太-KY","N/A","0.00000000","110","0.00","6.23"
"2926","誠品生活","N/A","0.00000000","110","0.00","4.22"
"2937","集雅社","9.59","2.24602266","110","6.15","1.80"
"2947","振宇五金","24.15","3.80000000","110","3.82","2.69"
"3064","泰偉","N/A","0.00000000","110","0.00","4.18"
"3066","李洲","11.69","0.00000000","110","0.00","2.00"
"3067","全域","6.90","0.00000000","110","0.00","2.75"
"3071","協禧","11.72","1.60000000","110","6.26","1.81"
"3073","天方能源","N/A","0.00000000","110","0.00","2.29"
"3078","僑威","8.97","3.25000000","110","10.78","1.24"
"3081","聯亞","35.60","3.50000000","111","2.72","2.71"
"3083","網龍","N/A","0.00000000","110","0.00","3.73"
"3086","華義","49.39","3.50000000","110","4.29","5.76"
"3088","艾訊","11.55","3.04328605","110","4.80","1.73"
"3089","億杰","N/A","0.00000000","110","0.00","7.17"
"3093","港建*","9.47","6.30000000","110","5.29","3.64"
"3095","及成","N/A","0.00000000","110","0.00","6.58"
"3105","穩懋","20.03","8.00067934","110","4.64","2.19"
"3114","好德","6.34","1.50000000","110","5.73","1.03"
"3115","富榮綱","N/A","0.00000000","110","0.00","2.02"
"3118","進階","16.34","1.90000000","110","6.64","1.77"
"3122","笙泉","13.95","2.15250982","110","7.87","2.08"
"3128","昇銳","27.28","0.70000000","110","1.48","3.26"
"3131","弘塑","9.11","17.00000000","110","6.69","2.29"
"3141","晶宏","9.93","4.00146342","110","3.77","3.16"
"3147","大綜","8.02","4.00000000","110","7.43","1.86"
"3152","璟德","44.18","8.00000000","110","3.64","4.33"
"3162","精確","N/A","0.00000000","110","0.00","3.71"
"3163","波若威","9.67","1.00000000","110","1.79","1.97"
"3169","亞信","15.79","5.00000000","110","4.41","4.08"
"3171","新洲","13.08","1.57000000","110","9.24","1.20"
"3176","基亞","N/A","0.00000000","110","0.00","1.79"
"3178","公準","15.93","1.00000000","110","1.38","2.90"
"3188","鑫龍騰","N/A","1.00000000","110","7.78","1.07"
"3191","和進","N/A","0.00000000","110","0.00","2.41"
"3202","樺晟","N/A","0.00000000","110","0.00","1.54"
