上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/24
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.47","2.50000000","110","5.54","1.46"
"1258","其祥-KY","16.15","0.00000000","110","0.00","1.60"
"1259","安心","18.51","2.60000000","111","3.49","1.21"
"1264","德麥","15.28","12.00000000","110","4.44","3.59"
"1268","漢來美食","43.99","3.00000000","110","2.21","3.09"
"1336","台翰","11.77","0.41000000","111","1.48","1.24"
"1565","精華","12.86","13.50000000","111","5.19","2.09"
"1569","濱川","5.80","1.60000000","110","6.21","0.86"
"1570","力肯","8.04","1.00000000","111","5.56","1.05"
"1580","新麥","10.90","7.00000000","110","6.97","1.99"
"1584","精剛","27.05","0.70000000","111","2.31","2.23"
"1586","和勤","40.55","0.65877051","110","1.98","1.70"
"1591","駿吉-KY","12.70","0.99999989","110","3.24","2.08"
"1593","祺驊","14.43","3.20000000","111","4.18","2.18"
"1595","川寶","8.20","2.00000000","111","5.03","0.70"
"1599","宏佳騰","10.35","1.50000000","111","3.86","1.41"
"1742","台蠟","3.29","0.00000000","111","0.00","0.86"
"1777","生泰","12.37","3.00000000","111","3.66","1.66"
"1781","合世","N/A","0.00000000","111","0.00","1.96"
"1784","訊聯","89.31","0.69884410","111","1.53","2.00"
"1785","光洋科","15.77","1.49056390","110","4.02","1.73"
"1788","杏昌","15.70","7.00000000","110","4.86","2.49"
"1796","金穎生技","39.42","1.50000000","111","1.68","4.45"
"1799","易威","N/A","0.00000000","111","0.00","2.91"
"1813","寶利徠","37.02","0.50000000","111","2.18","1.27"
"1815","富喬","174.29","0.89990560","110","7.38","0.73"
"2035","唐榮","N/A","0.00000000","111","0.00","1.89"
"2061","風青","N/A","0.00000000","111","0.00","2.08"
"2063","世鎧","9.21","3.00000000","111","6.64","2.31"
"2064","晉椿","16.54","1.00000000","111","5.31","1.09"
"2065","世豐","8.94","5.49786626","111","8.85","2.03"
"2066","世德","14.03","2.00000000","110","2.25","2.17"
