上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/04/11
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","321.43","1.20000000","111","2.67","1.41"
"1258","其祥-KY","10.39","0.00000000","111","0.00","1.39"
"1259","安心","18.51","2.60000000","111","3.49","1.21"
"1264","德麥","15.97","12.00000000","111","4.40","3.45"
"1268","漢來美食","44.97","3.00000000","110","2.17","3.16"
"1336","台翰","13.27","0.41000000","111","1.51","1.24"
"1565","精華","12.74","13.50000000","111","5.24","2.07"
"1569","濱川","7.72","2.00000000","111","8.02","0.85"
"1570","力肯","8.57","1.00000000","111","5.56","1.02"
"1580","新麥","15.45","6.00000000","111","5.80","2.01"
"1584","精剛","28.57","0.70000000","111","2.19","2.35"
"1586","和勤","63.02","0.25000000","111","0.75","1.76"
"1591","駿吉-KY","10.72","0.99999989","110","3.72","1.83"
"1593","祺驊","14.71","3.20000000","111","4.15","2.15"
"1595","川寶","8.14","2.00000000","111","5.06","0.70"
"1599","宏佳騰","10.29","1.50000000","111","3.88","1.40"
"1742","台蠟","N/A","0.00000000","111","0.00","1.09"
"1777","生泰","12.51","3.00000000","111","3.62","1.68"
"1781","合世","N/A","0.00000000","111","0.00","1.94"
"1784","訊聯","61.38","0.69884410","111","1.42","2.13"
"1785","光洋科","15.96","1.49056390","110","3.97","1.75"
"1788","杏昌","15.95","7.00000000","110","4.84","2.40"
"1796","金穎生技","43.45","1.50000000","111","1.53","4.90"
"1799","易威","N/A","0.00000000","111","0.00","3.00"
"1813","寶利徠","161.79","0.50000000","111","2.21","1.30"
"1815","富喬","170.71","0.89990560","110","7.53","0.71"
"2035","唐榮","N/A","0.00000000","111","0.00","1.91"
"2061","風青","N/A","0.00000000","111","0.00","2.06"
"2063","世鎧","9.10","3.00000000","111","6.71","2.28"
"2064","晉椿","17.06","1.00000000","111","5.14","1.13"
"2065","世豐","8.91","5.49786626","111","8.88","2.02"
"2066","世德","11.42","2.00000000","110","2.18","2.14"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.42"
"2070","精湛","16.42","1.50000000","111","3.94","1.55"
"2221","大甲","7.03","4.00000000","111","8.97","1.77"
"2230","泰茂","25.90","1.50000000","111","1.83","5.69"
"2235","謚源","9.98","4.00000000","111","8.73","1.21"
"2596","綠意","38.36","1.50000000","110","6.74","1.07"
"2640","大車隊","18.58","5.00000000","111","4.48","3.71"
"2641","正德","3.23","1.49661129","111","7.45","0.90"
"2643","捷迅","4.44","5.00000000","110","6.75","1.45"
"2718","晶悅","N/A","0.00000000","110","0.00","2.76"
"2719","燦星旅","N/A","0.00000000","111","0.00","6.86"
"2724","富驛-KY","N/A","0.00000000","111","0.00","3.63"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","4.15"
"2729","瓦城","65.06","5.00000000","111","2.12","3.35"
"2732","六角","25.61","6.28141100","111","3.74","4.13"
"2734","易飛網","N/A","0.00000000","110","0.00","4.80"
"2736","富野","95.83","0.20000000","111","0.87","0.97"
"2740","天蔥","N/A","0.00000000","111","0.00","5.73"
"2743","山富","N/A","0.00000000","111","0.00","3.94"
"2745","五福","N/A","0.00000000","111","0.00","4.53"
"2752","豆府","23.94","10.00000000","111","4.03","6.17"
"2754","亞洲藏壽司","29.27","0.44974719","110","0.29","4.72"
"2755","揚秦","27.24","5.30000000","111","3.71","4.80"
"2756","聯發國際","21.49","4.50000000","111","2.94","5.88"
"2916","滿心","10.24","3.00000000","111","8.90","1.75"
"2924","宏太-KY","153.04","0.00000000","111","0.00","6.16"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.65"
"2937","集雅社","9.11","1.30000000","111","3.76","1.57"
"2947","振宇五金","26.60","2.20000000","111","2.38","2.47"
"3064","泰偉","N/A","0.00000000","111","0.00","5.17"
"3066","李洲","8.88","0.00000000","111","0.00","1.72"
"3067","全域","N/A","0.00000000","111","0.00","2.65"
"3071","協禧","13.27","1.60000000","110","5.80","1.95"
"3078","僑威","15.48","2.35000000","111","4.85","1.96"
"3081","聯亞","38.78","3.50000000","111","2.50","2.95"
"3083","網龍","N/A","0.00000000","111","0.00","3.47"
"3085","新零售","N/A","0.00000000","111","0.00","3.64"
"3086","華義","45.39","1.20000000","111","1.60","5.32"
"3088","艾訊","11.79","3.50000000","111","4.46","2.02"
"3089","億杰","N/A","0.00000000","111","0.00","7.87"
"3093","港建*","11.67","3.00000000","111","7.79","4.30"
"3095","及成","N/A","0.00000000","111","0.00","5.96"
"3105","穩懋","43.41","2.50000000","111","1.36","2.35"
"3114","好德","8.20","1.70000000","111","6.23","1.17"
"3115","富榮綱","N/A","0.00000000","111","0.00","2.10"
"3118","進階","16.92","1.70000000","111","5.58","1.82"
"3122","笙泉","61.00","0.24000000","111","0.87","2.14"
"3128","昇銳","23.67","0.70000000","110","1.64","2.86"
"3131","弘塑","12.48","18.00000000","111","5.70","2.68"
"3141","晶宏","15.55","2.66782706","111","2.45","3.31"
"3147","大綜","9.20","4.50000000","111","7.11","2.13"
"3152","璟德","59.65","3.59000000","111","1.51","4.62"
"3162","精確","N/A","0.00000000","111","0.00","2.90"
"3163","波若威","9.25","4.20000000","111","7.57","1.89"
"3169","亞信","18.99","5.50000000","111","4.35","4.35"
"3171","新洲","9.92","1.00000000","111","5.51","1.22"
"3176","基亞","N/A","0.00000000","111","0.00","2.10"
"3178","公準","16.21","1.00000000","110","1.23","3.11"
"3188","鑫龍騰","23.03","0.30000000","111","2.14","1.12"
"3191","和進","N/A","0.00000000","111","0.00","2.33"
"3202","樺晟","N/A","0.00000000","111","0.00","1.80"
"3205","佰研","N/A","0.00000000","111","0.00","3.04"
"3206","志豐","8.79","2.20000000","111","6.95","1.44"
"3207","耀勝","18.17","1.50000000","111","1.91","4.49"
"3211","順達","14.65","6.04184000","111","7.74","1.37"
"3213","茂訊","13.39","3.60000000","111","6.91","1.27"
"3217","優群","15.88","5.40070794","111","5.00","2.49"
"3218","大學光","38.06","6.60000000","111","1.63","12.15"
"3219","倚強科","25.12","1.03000000","111","1.89","2.92"
"3221","台嘉碩","9.32","2.50000000","111","8.43","1.32"
"3224","三顧","N/A","0.00000000","111","0.00","2.53"
"3226","至寶電","10.95","2.50000000","111","4.61","2.38"
"3227","原相","14.78","6.00000000","111","5.48","1.75"
"3228","金麗科","366.04","0.00000000","110","0.00","18.25"
"3230","錦明","N/A","0.00000000","111","0.00","1.21"
"3232","昱捷","76.67","0.50000000","111","1.67","1.97"
"3234","光環","N/A","0.00000000","111","0.00","2.45"
"3236","千如","13.50","1.54000000","111","5.09","1.88"
"3252","海灣","201.67","0.50000000","110","2.75","0.46"
"3259","鑫創","N/A","0.00000000","111","0.00","3.04"
"3260","威剛","25.49","2.00000000","111","2.46","1.82"
"3264","欣銓","7.79","3.50000000","111","6.00","1.67"
"3265","台星科","8.50","5.00000000","111","8.74","1.33"
"3268","海德威","15.29","0.70000000","111","2.99","1.52"
"3272","東碩","12.18","2.90000000","111","5.70","1.34"
"3276","宇環","16.61","0.40000000","110","2.77","1.27"
"3284","太普高","33.04","0.20000000","111","1.32","1.35"
"3285","微端","N/A","0.00000000","111","0.00","1.49"
"3287","廣寰科","717.50","0.00000000","111","0.00","1.23"
"3288","點晶","115.53","0.00000000","111","0.00","3.30"
"3289","宜特","16.17","2.00000000","111","2.32","1.95"
"3290","東浦","25.60","0.60000000","111","2.00","1.91"
"3293","鈊象","13.84","35.00000000","111","6.51","7.11"
"3294","英濟","N/A","0.00000000","111","0.00","1.14"
"3297","杭特","172.27","0.00000000","111","0.00","1.17"
"3303","岱稜","9.45","2.00000000","111","7.27","1.33"
"3306","鼎天","101.40","0.50000000","111","1.97","0.87"
"3310","佳穎","26.63","3.10000000","111","4.62","2.63"
"3313","斐成","N/A","0.00000000","111","0.00","1.19"
"3317","尼克森","8.29","2.00000000","111","3.41","1.34"
"3322","建舜電","16.17","0.60000000","111","2.56","1.78"
"3323","加百裕","12.47","1.50000000","111","4.37","1.07"
"3324","雙鴻","17.03","6.50000000","111","2.60","3.87"
"3325","旭品","N/A","0.00000000","111","0.00","1.55"
"3332","幸康","10.20","2.50000000","111","5.38","1.36"
"3339","泰谷","N/A","0.00000000","111","0.00","1.20"
"3349","寶德","N/A","0.00000000","111","0.00","1.31"
"3354","律勝","N/A","0.20000000","111","1.32","1.07"
"3357","臺慶科","10.78","6.00000000","111","5.50","1.70"
"3360","尚立","43.28","0.80000000","111","5.78","0.99"
"3362","先進光","35.08","0.00000000","110","0.00","4.99"
"3363","上詮","53.77","0.50000000","111","1.75","1.52"
"3372","典範","25.10","0.50000000","111","4.07","1.01"
"3373","熱映","35.91","1.50000000","110","6.33","1.00"
"3374","精材","14.77","3.00000000","111","2.78","3.97"
