上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/02/17
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.16","2.50000000","110","5.58","1.45"
"1258","其祥-KY","14.45","0.00000000","110","0.00","1.43"
"1259","安心","14.88","2.30000000","110","3.03","1.27"
"1264","德麥","15.37","12.00000000","110","4.42","3.61"
"1268","漢來美食","32.87","3.00000000","110","2.10","3.49"
"1336","台翰","12.40","0.40000000","110","1.37","1.31"
"1565","精華","12.07","15.00000000","110","5.87","2.12"
"1569","濱川","5.39","1.60000000","110","6.68","0.80"
"1570","力肯","7.97","1.00000000","110","5.60","1.04"
"1580","新麥","10.26","7.00000000","110","7.40","1.87"
"1584","精剛","29.51","0.20000000","110","0.74","2.05"
"1586","和勤","41.34","0.65877051","110","1.94","1.74"
"1591","駿吉-KY","10.78","0.99999989","110","3.82","1.77"
"1593","祺驊","15.53","3.59585002","110","4.37","2.34"
"1595","川寶","6.19","2.00000000","110","5.21","0.68"
"1599","宏佳騰","9.66","3.00000000","110","7.65","1.46"
"1742","台蠟","3.18","1.68730000","110","11.52","0.83"
"1777","生泰","15.87","1.93148000","110","2.22","1.79"
"1781","合世","N/A","0.00000000","110","0.00","1.95"
"1784","訊聯","86.08","0.48579786","110","1.11","1.92"
"1785","光洋科","14.04","1.49056390","110","4.01","1.75"
"1788","杏昌","15.81","7.00000000","110","4.83","2.50"
"1796","金穎生技","36.80","1.00000000","110","1.21","4.22"
"1799","易威","N/A","0.00000000","110","0.00","2.30"
"1813","寶利徠","36.13","0.50000000","110","2.23","1.24"
"1815","富喬","19.61","0.89990560","110","7.17","0.73"
"2035","唐榮","30.62","0.00000000","110","0.00","1.97"
"2061","風青","N/A","1.00000000","110","3.75","2.29"
"2063","世鎧","11.07","3.00000000","110","6.35","2.32"
"2064","晉椿","9.26","1.00000000","110","5.54","1.02"
"2065","世豐","8.53","5.13677507","110","8.86","1.90"
"2066","世德","13.64","2.00000000","110","2.32","2.11"
"2067","嘉鋼","N/A","0.00000000","110","0.00","1.21"
"2070","精湛","12.78","1.50000000","110","4.21","1.49"
"2221","大甲","5.84","3.00000000","110","7.68","1.62"
"2230","泰茂","15.65","0.00000000","110","0.00","3.67"
"2235","謚源","8.33","1.50000000","110","3.22","1.21"
"2596","綠意","11.40","1.50000000","110","7.65","0.95"
"2640","大車隊","17.44","3.50000000","110","3.21","3.80"
"2641","正德","4.33","0.80000000","110","4.57","0.83"
"2643","捷迅","3.97","5.00000000","110","7.24","1.40"
"2718","晶悅","N/A","0.00000000","110","0.00","1.90"
