上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/31
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","322.86","1.20000000","111","2.65","1.42"
"1258","其祥-KY","10.39","0.00000000","111","0.00","1.39"
"1259","安心","18.51","2.60000000","111","3.49","1.21"
"1264","德麥","15.74","12.00000000","111","4.46","3.40"
"1268","漢來美食","44.32","3.00000000","110","2.20","3.11"
"1336","台翰","13.02","0.41000000","111","1.54","1.22"
"1565","精華","12.82","13.50000000","111","5.21","2.08"
"1569","濱川","7.86","2.00000000","111","7.87","0.87"
"1570","力肯","8.52","1.00000000","111","5.59","1.01"
"1580","新麥","15.15","6.00000000","111","5.91","1.97"
"1584","精剛","27.72","0.70000000","111","2.25","2.28"
"1586","和勤","62.74","0.25000000","111","0.75","1.75"
"1591","駿吉-KY","10.92","0.99999989","110","3.65","1.87"
"1593","祺驊","14.27","3.20000000","111","4.28","2.09"
"1595","川寶","8.10","2.00000000","111","5.09","0.70"
"1599","宏佳騰","10.32","1.50000000","111","3.87","1.40"
"1742","台蠟","N/A","0.00000000","111","0.00","1.10"
"1777","生泰","12.55","3.00000000","111","3.61","1.68"
"1781","合世","N/A","0.00000000","111","0.00","1.93"
"1784","訊聯","58.69","0.69884410","111","1.49","2.04"
"1785","光洋科","15.55","1.49056390","110","4.08","1.71"
"1788","杏昌","15.95","7.00000000","110","4.84","2.40"
"1796","金穎生技","41.50","1.50000000","111","1.60","4.68"
"1799","易威","N/A","0.00000000","111","0.00","3.09"
"1813","寶利徠","161.07","0.50000000","111","2.22","1.30"
"1815","富喬","173.57","0.89990560","110","7.41","0.73"
"2035","唐榮","N/A","0.00000000","111","0.00","1.91"
"2061","風青","N/A","0.00000000","111","0.00","2.09"
"2063","世鎧","9.16","3.00000000","111","6.67","2.30"
"2064","晉椿","16.89","1.00000000","111","5.19","1.12"
"2065","世豐","9.14","5.49786626","111","8.66","2.07"
"2066","世德","10.88","2.00000000","110","2.28","2.04"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.28"
"2070","精湛","16.10","1.50000000","111","4.02","1.52"
"2221","大甲","6.90","4.00000000","111","9.14","1.73"
"2230","泰茂","24.04","1.50000000","111","1.97","5.28"
"2235","謚源","10.04","4.00000000","111","8.68","1.22"
"2596","綠意","36.72","1.50000000","110","7.04","1.03"
"2640","大車隊","19.17","5.00000000","111","4.35","3.82"
"2641","正德","3.13","1.49661129","111","7.67","0.87"
"2643","捷迅","4.52","5.00000000","110","6.63","1.47"
"2718","晶悅","N/A","0.00000000","110","0.00","2.66"
"2719","燦星旅","N/A","0.00000000","111","0.00","6.91"
"2724","富驛-KY","N/A","0.00000000","111","0.00","3.88"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","4.25"
"2729","瓦城","64.78","5.00000000","111","2.13","3.34"
"2732","六角","27.21","6.28141100","111","3.52","4.39"
"2734","易飛網","N/A","0.00000000","110","0.00","4.88"
"2736","富野","99.79","0.20000000","111","0.84","1.01"
"2740","天蔥","N/A","0.00000000","111","0.00","5.48"
"2743","山富","N/A","0.00000000","111","0.00","3.98"
"2745","五福","N/A","0.00000000","111","0.00","4.59"
"2752","豆府","25.34","10.00000000","111","3.81","6.53"
"2754","亞洲藏壽司","30.13","0.44974719","110","0.29","4.86"
"2755","揚秦","26.57","5.30000000","111","3.80","4.68"
"2756","聯發國際","20.37","4.50000000","111","3.10","5.57"
"2916","滿心","9.94","3.00000000","111","9.17","1.69"
"2924","宏太-KY","158.70","0.00000000","111","0.00","6.39"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.46"
"2937","集雅社","9.17","1.30000000","111","3.73","1.58"
"2947","振宇五金","26.46","2.20000000","111","2.40","2.46"
"3064","泰偉","N/A","0.00000000","111","0.00","5.17"
"3066","李洲","9.06","0.00000000","111","0.00","1.76"
"3067","全域","N/A","0.00000000","111","0.00","2.65"
"3071","協禧","13.08","1.60000000","110","5.88","1.92"
"3078","僑威","14.15","2.35000000","111","5.30","1.79"
"3081","聯亞","36.70","3.50000000","111","2.64","2.79"
"3083","網龍","N/A","0.00000000","111","0.00","3.44"
"3085","新零售","N/A","0.00000000","111","0.00","3.72"
"3086","華義","45.03","1.20000000","111","1.62","5.28"
"3088","艾訊","11.53","3.50000000","111","4.56","1.97"
"3089","億杰","N/A","0.00000000","111","0.00","7.32"
"3093","港建*","12.03","3.00000000","111","7.56","4.43"
"3095","及成","N/A","0.00000000","111","0.00","7.68"
"3105","穩懋","42.94","2.50000000","111","1.37","2.32"
"3114","好德","8.15","1.70000000","111","6.26","1.16"
"3115","富榮綱","N/A","0.00000000","111","0.00","2.09"
"3118","進階","16.86","1.70000000","111","5.60","1.82"
"3122","笙泉","60.89","0.24000000","111","0.88","2.14"
"3128","昇銳","23.17","0.70000000","110","1.68","2.80"
"3131","弘塑","12.18","18.00000000","111","5.83","2.61"
"3141","晶宏","15.05","2.66782706","111","3.79","3.20"
"3147","大綜","9.06","4.50000000","111","7.22","2.09"
"3152","璟德","58.77","3.59000000","111","1.53","4.55"
"3162","精確","N/A","0.00000000","111","0.00","3.18"
"3163","波若威","9.42","4.20000000","111","7.43","1.92"
"3169","亞信","18.69","5.50000000","111","4.42","4.28"
"3171","新洲","9.86","1.00000000","111","5.54","1.21"
"3176","基亞","N/A","0.00000000","111","0.00","2.07"
"3178","公準","15.71","1.00000000","110","1.27","3.01"
"3188","鑫龍騰","21.23","0.30000000","111","2.32","1.03"
"3191","和進","N/A","0.00000000","111","0.00","2.40"
"3202","樺晟","N/A","0.00000000","111","0.00","1.63"
"3205","佰研","N/A","0.00000000","111","0.00","2.93"
"3206","志豐","8.74","2.20000000","111","7.00","1.43"
"3207","耀勝","17.11","1.50000000","111","2.03","4.23"
"3211","順達","15.52","6.04184000","111","7.31","1.45"
"3213","茂訊","13.57","3.60000000","111","6.82","1.28"
"3217","優群","16.40","5.40070794","111","4.84","2.57"
"3218","大學光","37.17","6.60000000","111","1.67","11.87"
"3219","倚強科","25.39","1.03000000","111","1.87","2.95"
"3221","台嘉碩","9.32","2.50000000","111","8.43","1.32"
"3224","三顧","N/A","0.00000000","111","0.00","2.52"
"3226","至寶電","10.69","2.50000000","111","4.73","2.32"
"3227","原相","14.57","6.00000000","111","5.56","1.73"
"3228","金麗科","366.98","0.00000000","110","0.00","18.30"
"3230","錦明","N/A","0.00000000","111","0.00","1.15"
"3232","昱捷","75.38","0.50000000","111","1.70","1.94"
"3234","光環","N/A","0.00000000","111","0.00","2.50"
"3236","千如","13.26","1.54000000","111","5.19","1.84"
"3252","海灣","206.11","0.50000000","110","2.70","0.47"
"3259","鑫創","N/A","0.00000000","111","0.00","3.03"
"3260","威剛","24.92","2.00000000","111","2.52","1.78"
"3264","欣銓","7.69","3.50000000","111","6.09","1.65"
